"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*KAMLOOPS A","BC"," 50°42'08.000"" N","120°26'31.000"" W","345.3 m","1163780","71887","YKA"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-2.8","0.1","5.2","9.9","14.6","18.4","21.5","20.9","15.6","8.5","2.1","-2.7","9.3","A"
"Standard Deviation","3.4","2.7","1.6","1.1","1.4","1.4","1.6","1.2","1.5","1.0","2.8","3.0","0.9","A"
"Daily Maximum (°C)","0.4","4.3","11.0","16.6","21.5","25.1","28.9","28.3","22.3","13.7","5.6","0.3","14.8","A"
"Daily Minimum (°C)","-5.9","-4.0","-0.6","3.2","7.7","11.6","14.2","13.4","8.8","3.3","-1.4","-5.8","3.7","A"
"Extreme Maximum (°C)","15.9","17.0","23.3","33.0","37.2","39.1","40.6","39.6","34.9","31.3","22.8","16.1","",""
"Date (yyyy/dd)","1989/30","1991/19","2004/29","1987/27","1983/29","2008/29","1971/31","1998/04","2003/06","1980/06","1975/03","1958/31",""," "
"Extreme Minimum (°C)","-37.2","-28.3","-26.1","-8.8","-5.6","1.1","3.3","0.6","-3.9","-17.1","-28.3","-36.1","",""
"Date (yyyy/dd)","1969/29","1957/02","1955/04","1993/08","1954/01","1962/06","1952/06","1989/23","1972/25","1984/31","1985/28","1968/30",""," "
"Precipitation"
"Rainfall (mm)","5.3","5.9","9.7","14.0","27.3","37.4","31.4","23.7","29.4","19.0","14.2","7.1","224.3","A"
"Snowfall (cm)","18.7","8.0","3.5","0.2","0.0","0.0","0.0","0.0","0.0","0.3","10.9","21.9","63.5","A"
"Precipitation (mm)","21.1","12.4","12.8","14.2","27.3","37.4","31.4","23.7","29.4","19.4","23.3","25.4","277.6","A"
"Average Snow Depth (cm)","6","2","0","0","0","0","0","0","0","0","1","4","1","A"
"Median Snow Depth (cm)","5","2","0","0","0","0","0","0","0","0","0","3","1","A"
"Snow Depth at Month-end (cm)","5","1","0","0","0","0","0","0","0","0","2","8","1","A"
"Extreme Daily Rainfall (mm)","7.8","18.0","14.2","27.8","20.6","36.8","42.2","48.0","28.8","20.8","18.8","15.4","",""
"Date (yyyy/dd)","1977/18","1951/09","2010/26","1983/25","1996/17","1986/29","1954/01","1976/16","1985/06","1994/14","1992/04","1997/29",""," "
"Extreme Daily Snowfall (cm)","33.8","13.0","16.8","2.8","0.2","0.0","0.0","0.0","0.0","3.0","30.2","23.9","",""
"Date (yyyy/dd)","1962/07","1986/15","1969/05","1972/12","2002/05","1951/01","1951/01","1951/01","1951/01","2004/22","1977/25","1967/21",""," "
"Extreme Daily Precipitation (mm)","33.8","20.6","14.2","27.8","20.6","36.8","42.2","48.0","28.8","20.8","26.5","23.4","",""
"Date (yyyy/dd)","1962/07","1951/09","2010/26","1983/25","1996/17","1986/29","1954/01","1976/16","1985/06","1994/14","1977/25","1971/22",""," "
"Extreme Snow Depth (cm)","74","71","43","0","0","0","0","0","0","2","40","81","",""
"Date (yyyy/dd)","1972/21","1972/01","1972/02","1955/01","1955/01","1955/01","1955/01","1955/01","1955/01","1991/31","1977/26","1971/25",""," "
"Days with Maximum Temperature"
"<= 0 °C","11.3","5.5","0.90","0.0","0.0","0.0","0.0","0.0","0.0","0.11","3.7","13.0","34.5","A"
"> 0 °C","19.7","22.7","30.1","30.0","31.0","30.0","31.0","31.0","30.0","30.9","26.3","18.0","330.7","A"
"> 10 °C","1.0","3.1","19.4","28.5","30.9","30.0","31.0","31.0","30.0","24.5","5.6","0.79","235.8","A"
"> 20 °C","0.0","0.0","0.33","6.7","17.4","25.9","29.7","29.6","20.0","2.5","0.0","0.0","132.0","A"
"> 30 °C","0.0","0.0","0.0","0.03","1.9","4.7","12.8","12.0","1.4","0.0","0.0","0.0","32.8","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.27","0.82","3.8","2.2","0.0","0.0","0.0","0.0","7.1","A"
"Days with Minimum Temperature"
"> 0 °C","5.9","7.1","13.9","24.1","30.8","30.0","31.0","31.0","29.6","24.7","13.1","4.9","246.0","A"
"<= 2 °C","29.3","25.6","23.2","11.8","1.7","0.0","0.0","0.03","1.1","11.7","22.3","29.6","156.4","A"
"<= 0 °C","25.1","21.2","17.1","5.9","0.23","0.0","0.0","0.0","0.38","6.3","16.9","26.1","119.2","A"
"< -2 °C","19.8","16.6","10.5","2.0","0.03","0.0","0.0","0.0","0.07","2.8","11.5","21.3","84.5","A"
"< -10 °C","7.5","3.7","0.83","0.0","0.0","0.0","0.0","0.0","0.0","0.14","2.0","5.7","19.9","A"
"< -20 °C","1.5","0.30","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.33","1.2","3.4","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.03","A"
"Days with Rainfall"
">= 0.2 mm","3.6","3.8","5.5","6.1","10.2","10.7","8.4","8.0","7.6","8.8","7.1","3.4","83.3","A"
">= 5 mm","0.20","0.27","0.40","0.77","1.6","2.5","2.0","1.5","2.2","0.83","0.71","0.43","13.5","A"
">= 10 mm","0.0","0.03","0.07","0.20","0.37","0.75","0.90","0.57","0.79","0.21","0.11","0.11","4.1","A"
">= 25 mm","0.0","0.0","0.0","0.03","0.0","0.07","0.07","0.0","0.03","0.0","0.0","0.0","0.20","A"
"Days With Snowfall"
">= 0.2 cm","7.6","4.1","1.9","0.30","0.03","0.0","0.0","0.0","0.0","0.28","3.9","9.3","27.4","A"
">= 5 cm","1.1","0.30","0.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","1.1","3.4","A"
">= 10 cm","0.23","0.13","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.21","0.32","0.92","A"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Precipitation"
">= 0.2 mm","9.7","7.2","6.8","6.2","10.2","10.7","8.4","8.0","7.6","9.0","10.0","11.7","105.6","A"
">= 5 mm","1.2","0.47","0.53","0.77","1.6","2.5","2.0","1.5","2.2","0.83","1.3","1.4","16.2","A"
">= 10 mm","0.13","0.10","0.07","0.20","0.37","0.75","0.90","0.57","0.79","0.21","0.25","0.32","4.7","A"
">= 25 mm","0.0","0.0","0.0","0.03","0.0","0.07","0.07","0.0","0.03","0.0","0.0","0.0","0.20","A"
"Days with Snow Depth"
">= 1 cm","18.4","8.7","0.77","0.0","0.0","0.0","0.0","0.0","0.0","0.07","3.4","15.0","46.4","A"
">= 5 cm","12.9","5.0","0.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8","9.4","29.5","A"
">= 10 cm","8.0","2.5","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.96","4.8","16.3","A"
">= 20 cm","2.4","0.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.25","1.2","4.6","A"
"Wind"
"Speed (km/h)","10.5","10.3","11.5","11.2","10.6","10.0","9.3","8.5","8.7","10.1","11.7","11.1","10.3","A"
"Most Frequent Direction","E","E","E","E","E","E","W","E","E","E","E","E","E","A"
"Maximum Hourly Speed (km/h)","72.0","68.0","93.0","63.0","61.0","61.0","72.0","65.0","68.0","74.0","72.0","67.0","93.0",""
"Date (yyyy/dd)","1965/03","1964/04","1975/30","2006/29","2009/02","1980/08","1970/16","2007/08","1959/03","1975/02","1975/15","1992/17","1975/30"," "
"Direction of Maximum Hourly Speed","W","E","NW","W","S","SW","S","W","S","SW","SW","W","NW",""
"Maximum Gust Speed (km/h)","117.0","116.0","137.0","97.0","113.0","109.0","100.0","93.0","106.0","119.0","121.0","117.0","137.0",""
