"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MERRITT STP","BC"," 50°06'51.004"" N","120°48'03.005"" W","609.0 m","1125079","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-3.0","-0.5","4.1","8.1","12.3","15.9","18.8","18.6","13.9","7.6","1.2","-3.7","7.8","A"
"Standard Deviation","3.5","2.8","1.7","1.1","1.5","1.4","1.6","1.2","1.7","1.1","3.0","3.4","1.9","A"
"Daily Maximum (°C)","1.1","4.2","10.2","15.1","19.4","23.0","26.7","27.0","21.9","13.7","5.2","0.0","14.0","A"
"Daily Minimum (°C)","-7.0","-5.2","-2.1","1.1","5.1","8.7","10.8","10.1","5.9","1.5","-2.9","-7.3","1.6","A"
"Extreme Maximum (°C)","17.5","16.0","23.5","30.6","36.0","37.5","39.5","39.0","38.5","30.5","21.7","18.5","",""
"Date (yyyy/dd)","2005/19","1986/24","1994/27","1977/24","1983/29","2006/26","1994/23","2004/14","1988/03","1980/05","1975/04","1980/27",""," "
"Extreme Minimum (°C)","-40.0","-32.0","-28.3","-8.3","-4.4","-0.6","1.7","0.0","-6.7","-23.0","-32.0","-42.8","",""
"Date (yyyy/dd)","1969/29","1986/19","1976/03","1975/01","1973/11","1976/04","1971/02","1973/19","1972/27","1984/31","1985/27","1968/30",""," "
"Precipitation"
"Rainfall (mm)","13.7","11.0","11.8","14.2","29.8","36.6","29.1","20.6","24.6","26.2","23.4","13.3","254.5","A"
"Snowfall (cm)","16.8","8.3","4.4","0.9","0.3","0.0","0.0","0.0","0.0","1.3","12.0","22.7","66.7","A"
"Precipitation (mm)","30.5","19.4","16.2","15.1","30.1","36.6","29.1","20.6","24.6","27.6","35.4","36.0","321.1","A"
"Average Snow Depth (cm)","5","2","0","0","0","0","0","0","0","0","1","5","1","D"
"Median Snow Depth (cm)","5","2","0","0","0","0","0","0","0","0","0","4","1","D"
"Snow Depth at Month-end (cm)","2","0","0","0","0","0","0","0","0","0","3","9","1","D"
"Extreme Daily Rainfall (mm)","21.6","24.4","16.8","20.8","29.3","43.0","22.8","20.6","27.2","29.2","26.2","22.6","",""
"Date (yyyy/dd)","1974/14","1983/17","1972/05","1988/17","2004/21","1986/20","1992/01","1970/03","1980/12","1991/21","1999/11","1974/20",""," "
"Extreme Daily Snowfall (cm)","31.2","18.5","19.0","7.4","6.2","0.0","0.0","0.0","10.2","15.2","21.0","42.0","",""
"Date (yyyy/dd)","1971/14","1975/09","1997/15","1972/12","1978/03","1969/01","1969/01","1968/01","1972/25","1971/25","1996/27","1996/29",""," "
"Extreme Daily Precipitation (mm)","31.2","24.4","19.0","20.8","29.3","43.0","22.8","20.6","27.2","29.2","34.9","42.0","",""
"Date (yyyy/dd)","1971/14","1983/17","1997/15","1988/17","2004/21","1986/20","1992/01","1970/03","1980/12","1991/21","1978/03","1996/29",""," "
"Extreme Snow Depth (cm)","40","16","12","4","0","0","0","0","0","9","30","67","",""
"Date (yyyy/dd)","1997/01","1985/09","1997/16","1986/23","1981/01","1981/01","1981/01","1980/01","1981/01","1991/25","1996/28","1996/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","12.0","6.2","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.27","4.7","15.1","39.3","C"
"> 0 °C","19.0","22.0","29.9","30.0","31.0","30.0","31.0","31.0","30.0","30.7","25.3","15.9","325.9","C"
"> 10 °C","0.93","2.5","15.9","25.2","30.4","29.9","31.0","31.0","29.9","23.7","4.4","0.56","225.3","C"
"> 20 °C","0.0","0.0","0.38","4.3","11.6","19.5","27.4","28.0","17.4","2.8","0.0","0.0","111.3","C"
"> 30 °C","0.0","0.0","0.0","0.0","1.3","2.8","8.2","8.7","2.3","0.0","0.0","0.0","23.2","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.08","0.25","1.4","1.1","0.12","0.0","0.0","0.0","2.9","C"
"Days with Minimum Temperature"
"> 0 °C","3.8","4.9","8.9","16.4","27.7","29.9","31.0","31.0","27.7","18.7","9.1","2.4","211.2","A"
