"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MERRY ISLAND LIGHTSTATION","BC"," 49°28'03.000"" N","123°54'45.000"" W","6.1 m","1045100","","WMR"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","5.4","5.7","7.3","9.7","13.0","16.0","18.2","18.2","15.2","10.8","7.3","5.2","11.0","A"
"Standard Deviation","1.2","1.2","1.0","0.9","1.0","1.0","0.9","0.8","0.8","0.7","1.4","1.3","1.2","A"
"Daily Maximum (°C)","7.1","7.7","9.6","12.4","16.1","19.0","21.4","21.3","18.1","12.9","9.0","6.8","13.5","A"
"Daily Minimum (°C)","3.6","3.6","4.9","6.9","10.0","12.9","14.9","15.1","12.3","8.7","5.5","3.5","8.5","A"
"Extreme Maximum (°C)","14.5","14.3","17.5","21.0","28.4","30.2","30.0","32.2","26.6","21.1","15.6","14.0","",""
"Date (yyyy/dd)","2005/23","1986/27","2004/29","2004/30","1983/29","2003/06","2004/22","1961/04","1988/03","1975/01","1991/11","2005/24",""," "
"Extreme Minimum (°C)","-7.2","-10.1","-3.6","-1.1","2.5","5.6","9.0","8.9","3.9","-0.4","-7.3","-11.7","",""
"Date (yyyy/dd)","1969/29","1990/13","2002/08","1975/03","2002/06","1966/01","1979/01","1973/18","1972/27","1984/31","1985/27","1968/28",""," "
"Precipitation"
"Rainfall (mm)","130.1","88.5","87.8","69.9","62.4","53.9","34.7","35.7","48.7","106.0","161.3","127.0","1006.0","A"
"Snowfall (cm)","5.3","3.8","2.4","0.1","0.1","0.0","0.0","0.0","0.0","0.1","3.6","7.5","22.8","A"
"Precipitation (mm)","135.5","92.2","90.1","69.9","62.5","53.9","34.7","35.7","48.7","106.1","165.0","134.5","1028.8","A"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","1","1","0","C"
"Extreme Daily Rainfall (mm)","78.2","49.0","51.8","31.8","37.0","41.9","37.1","42.4","69.4","63.4","50.0","66.0","",""
"Date (yyyy/dd)","1968/18","1983/11","1997/17","1962/27","2004/27","1972/10","1968/19","1962/04","1983/01","2003/16","1989/03","1972/25",""," "
"Extreme Daily Snowfall (cm)","22.9","22.9","16.6","5.1","1.0","0.0","0.0","0.0","0.0","2.3","13.4","40.6","",""
"Date (yyyy/dd)","1971/13","1975/12","1997/15","1975/03","1985/10","1958/01","1958/01","1958/01","1958/01","1991/28","1996/17","1968/31",""," "
"Extreme Daily Precipitation (mm)","78.2","49.0","51.8","31.8","37.0","41.9","37.1","42.4","69.4","63.4","52.6","66.0","",""
"Date (yyyy/dd)","1968/18","1983/11","1997/17","1962/27","2004/27","1972/10","1968/19","1962/04","1983/01","2003/16","1964/29","1972/25",""," "
"Extreme Snow Depth (cm)","30","10","7","0","0","0","0","0","0","0","23","41","",""
"Date (yyyy/dd)","1966/05","1989/17","1989/01","1962/01","1962/01","1962/01","1962/01","1962/01","1962/01","1961/01","1985/28","1968/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","0.38","0.19","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.44","0.76","1.8","C"
"> 0 °C","30.6","28.0","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.6","30.2","363.4","C"
"> 10 °C","4.0","3.7","13.0","25.1","30.9","30.0","31.0","31.0","30.0","28.2","9.6","2.8","239.2","C"
"> 20 °C","0.0","0.0","0.0","0.23","3.0","8.8","20.9","21.3","5.9","0.04","0.0","0.0","60.1","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.04","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Minimum Temperature"
"> 0 °C","28.0","26.3","30.5","30.0","31.0","30.0","30.9","31.0","30.0","31.0","29.0","28.6","356.1","C"
"<= 2 °C","8.7","7.6","2.7","0.08","0.0","0.0","0.0","0.0","0.0","0.23","2.6","8.8","30.8","C"
"<= 0 °C","3.0","1.9","0.48","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.96","2.4","8.9","C"
"< -2 °C","0.62","0.33","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.60","0.92","2.6","C"
"< -10 °C","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","C"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Rainfall"
">= 0.2 mm","19.0","14.9","17.7","14.9","13.2","11.0","6.3","6.8","8.7","16.1","20.2","19.0","168.0","A"
">= 5 mm","9.1","6.1","6.6","5.1","4.6","3.9","2.3","2.4","3.3","7.1","10.7","8.6","69.8","A"
">= 10 mm","4.9","3.1","2.6","1.9","1.8","1.8","1.1","1.0","1.7","3.5","6.3","4.8","34.4","A"
">= 25 mm","0.69","0.30","0.16","0.19","0.19","0.08","0.16","0.16","0.16","0.44","0.88","0.48","3.9","A"
"Days With Snowfall"
">= 0.2 cm","1.7","1.3","0.52","0.08","0.12","0.0","0.0","0.0","0.0","0.08","0.92","1.2","5.9","A"
">= 5 cm","0.42","0.15","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.32","0.44","1.5","A"
">= 10 cm","0.12","0.07","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.16","0.47","A"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.08","A"
"Days with Precipitation"
