"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MISSION WEST ABBEY","BC"," 49°09'09.002"" N","122°16'14.001"" W","197.0 m","1105192","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.3","4.6","6.9","9.6","12.7","15.3","17.8","18.3","15.6","10.6","5.5","2.8","10.3","A"
"Standard Deviation","1.9","1.7","1.5","1.1","1.5","1.2","1.3","1.1","1.3","1.1","2.1","1.7","1.4","A"
"Daily Maximum (°C)","5.6","7.6","10.4","13.6","16.8","19.5","22.4","22.9","19.8","13.7","7.9","5.0","13.8","A"
"Daily Minimum (°C)","0.9","1.6","3.3","5.5","8.5","11.1","13.3","13.6","11.3","7.4","3.1","0.5","6.7","A"
"Extreme Maximum (°C)","16.5","18.9","24.0","28.0","34.0","32.5","35.0","35.0","33.5","26.0","17.8","16.5","",""
"Date (yyyy/dd)","2005/19","1968/27","1994/28","1987/27","1983/28","2003/06","1965/30","1978/08","1988/03","1987/01","1975/03","1980/26",""," "
"Extreme Minimum (°C)","-15.6","-18.0","-10.0","-1.1","0.0","4.0","6.5","7.2","1.7","-8.0","-18.0","-21.7","",""
"Date (yyyy/dd)","1969/29","1989/01","1976/03","1968/12","1965/05","1991/03","1979/01","1973/18","1972/27","1984/31","1985/27","1968/29",""," "
"Precipitation"
"Rainfall (mm)","230.6","147.2","161.2","149.9","129.9","107.5","70.7","62.5","88.8","189.9","279.8","191.0","1808.7","A"
"Snowfall (cm)","22.9","13.4","7.4","1.8","0.0","0.0","0.0","0.0","0.0","0.2","8.7","20.3","74.6","A"
"Precipitation (mm)","253.4","160.6","168.6","151.7","129.9","107.5","70.7","62.5","88.8","190.0","288.6","211.2","1883.3","A"
"Average Snow Depth (cm)","4","2","0","0","0","0","0","0","0","0","0","2","1","D"
"Median Snow Depth (cm)","3","0","0","0","0","0","0","0","0","0","0","1","0","D"
"Snow Depth at Month-end (cm)","2","0","0","0","0","0","0","0","0","0","2","3","1","D"
"Extreme Daily Rainfall (mm)","102.1","114.0","73.6","68.8","51.2","78.6","87.4","60.8","67.4","123.2","111.6","101.6","",""
"Date (yyyy/dd)","1968/18","1986/23","1997/18","1992/28","1987/29","1980/16","1983/11","1991/30","1984/05","2003/16","1990/09","1980/25",""," "
"Extreme Daily Snowfall (cm)","27.9","37.0","20.0","12.4","8.1","0.0","0.0","0.0","0.0","4.0","43.0","30.5","",""
"Date (yyyy/dd)","1969/10","1982/22","1997/15","1985/19","1965/04","1963/01","1963/01","1963/01","1963/01","1984/31","1996/16","1968/30",""," "
"Extreme Daily Precipitation (mm)","102.1","114.0","73.6","68.8","51.2","78.6","87.4","60.8","67.4","123.2","111.6","101.6","",""
"Date (yyyy/dd)","1968/18","1986/23","1997/18","1992/28","1987/29","1980/16","1983/11","1991/30","1984/05","2003/16","1990/09","1980/25",""," "
"Extreme Snow Depth (cm)","40","46","14","3","0","0","0","0","0","0","40","40","",""
"Date (yyyy/dd)","1982/08","1982/24","2006/10","2006/15","1981/01","1981/01","1981/01","1980/01","1981/01","1981/01","2006/30","2006/01",""," "
"Days with Maximum Temperature"
"<= 0 °C","3.3","1.0","0.36","0.0","0.0","0.0","0.0","0.0","0.0","0.04","1.2","2.7","8.6","A"
"> 0 °C","27.7","27.2","30.6","30.0","31.0","30.0","31.0","31.0","30.0","31.0","28.9","28.3","356.7","A"
"> 10 °C","2.6","6.0","15.5","22.4","29.5","30.0","31.0","31.0","30.0","25.9","7.5","1.3","232.6","A"
"> 20 °C","0.0","0.0","0.24","2.7","7.3","12.4","21.0","23.0","12.9","1.7","0.0","0.0","81.2","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.12","0.62","1.4","1.1","0.23","0.0","0.0","0.0","3.5","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","20.0","20.2","27.7","29.6","31.0","30.0","31.0","31.0","30.0","30.6","25.4","18.6","325.1","A"
"<= 2 °C","17.2","14.8","9.9","3.2","0.27","0.0","0.0","0.0","0.0","0.88","10.4","20.7","77.4","A"
"<= 0 °C","11.0","8.0","3.3","0.36","0.0","0.0","0.0","0.0","0.0","0.38","4.6","12.4","40.1","A"
"< -2 °C","6.0","3.3","0.92","0.0","0.0","0.0","0.0","0.0","0.0","0.08","1.9","4.8","16.9","A"
"< -10 °C","0.56","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.42","0.76","2.0","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.0","14.4","18.1","17.8","16.0","14.1","8.9","8.0","10.3","16.8","20.2","16.7","179.3","A"
">= 5 mm","11.7","8.4","10.1","9.2","7.8","7.3","3.7","3.4","4.9","10.0","13.9","11.0","101.4","A"
">= 10 mm","7.5","5.4","6.2","5.5","4.7","3.8","2.1","1.9","3.0","6.6","10.0","7.1","63.7","A"
">= 25 mm","2.9","1.2","1.2","1.0","1.0","0.73","0.69","0.69","0.69","2.3","3.2","2.0","17.6","A"
"Days With Snowfall"
">= 0.2 cm","3.7","2.5","1.5","0.31","0.0","0.0","0.0","0.0","0.0","0.04","1.6","3.9","13.5","A"
">= 5 cm","1.8","0.81","0.54","0.15","0.0","0.0","0.0","0.0","0.0","0.0","0.54","1.4","5.2","A"
">= 10 cm","0.89","0.41","0.19","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.23","0.60","2.4","A"
">= 25 cm","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.12","A"
"Days with Precipitation"
">= 0.2 mm","20.2","15.9","18.7","17.8","16.0","14.1","8.9","8.0","10.3","16.8","21.0","18.8","186.5","A"
">= 5 mm","13.3","9.2","10.7","9.4","7.8","7.3","3.7","3.4","4.9","10.0","14.4","12.3","106.2","A"
">= 10 mm","8.5","5.9","6.6","5.7","4.7","3.8","2.1","1.9","3.0","6.6","10.3","7.9","66.8","A"
">= 25 mm","3.0","1.3","1.2","1.0","1.0","0.73","0.69","0.69","0.69","2.3","3.4","2.1","18.0","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.2","0.4","2.1","1.5","0.2","0.0","0.0","0.0","4.4","C"
"Above 18 °C","0.0","0.0","0.0","0.3","5.6","14.8","37.4","40.5","14.2","0.5","0.0","0.0","113.2","C"
"Above 15 °C","0.0","0.0","0.1","2.4","19.6","44.3","96.5","106.3","47.2","3.4","0.0","0.0","319.7","C"
"Above 10 °C","0.4","1.2","6.3","31.9","94.1","160.8","243.2","257.1","167.5","45.0","2.8","0.0","1010.4","C"
"Above 5 °C","20.7","29.8","72.8","136.6","238.4","310.2","398.2","412.1","317.2","174.1","48.0","11.5","2169.5","C"
"Above 0 °C","120.5","137.9","216.3","285.4","393.4","460.2","553.2","567.1","467.2","327.8","174.4","103.3","3806.5","C"
"Below 0 °C","19.9","7.2","1.9","0.0","0.0","0.0","0.0","0.0","0.0","0.3","8.3","18.8","56.3","C"
"Below 5 °C","75.1","40.3","13.4","1.1","0.0","0.0","0.0","0.0","0.0","1.6","32.0","81.9","245.4","C"
"Below 10 °C","209.8","152.7","101.9","46.5","10.7","0.6","0.0","0.0","0.3","27.5","136.7","225.5","912.3","C"
"Below 15 °C","364.4","292.6","250.7","167.0","91.2","34.1","8.4","4.2","29.9","140.8","283.9","380.5","2047.8","C"
"Below 18 °C","457.4","377.3","343.6","254.9","170.3","94.6","42.2","31.4","87.0","230.9","373.9","473.5","2936.9","C"

"1981 to 2010 Canadian Climate Normals station data (Frost-Free)"
"","Frost-Free:","Code"
"Average Date of Last Spring Frost","March     21","C"
"Average Date of First Fall Frost","November  17","C"
"Average Length of Frost-Free Period","241 Days","C"
"Probability of last temperature in spring of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Apr 20","Apr 12","Apr 06","Mar 29","Mar 16","Mar 15","Mar 04"
"Probability of first temperature in fall of 0 °C or lower on or after indicated dates","10%","25%","33%","50%","66%","75%","90%"
"Date","Oct 30","Nov 04","Nov 09","Nov 17","Nov 23","Nov 25","Dec 15"
"Probability of frost-free period equal to or less than indicated period (Days)","10%","25%","33%","50%","66%","75%","90%"
"Days","202","224","225","229","244","249","259"
