"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*MUD BAY","BC"," 49°28'15.000"" N","124°47'39.000"" W","4.0 m","1025240","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.5","4.0","5.9","8.6","12.1","15.1","17.5","17.4","14.1","9.3","5.3","3.1","9.7","A"
"Standard Deviation","1.5","1.4","1.1","0.9","1.2","1.1","1.1","0.9","1.0","0.8","1.6","1.6","1.2","A"
"Daily Maximum (°C)","6.2","7.5","10.1","13.5","17.2","20.3","23.1","23.1","19.5","13.4","8.3","5.6","14.0","A"
"Daily Minimum (°C)","0.7","0.5","1.7","3.7","6.9","9.8","11.8","11.7","8.6","5.3","2.3","0.5","5.3","A"
"Extreme Maximum (°C)","15.0","14.5","20.5","25.0","32.5","32.5","34.0","33.5","31.0","23.5","17.2","17.0","",""
"Date (yyyy/dd)","2005/23","1980/26","2004/29","1971/25","1983/29","2004/18","2006/23","1981/08","1987/01","1980/03","1975/04","2005/24",""," "
"Extreme Minimum (°C)","-12.5","-13.0","-7.0","-4.5","-2.0","2.2","5.0","4.5","-0.6","-5.5","-14.0","-12.0","",""
"Date (yyyy/dd)","1982/06","1989/03","1989/02","1999/04","1999/10","1976/01","1974/11","1999/30","1972/27","1984/31","1985/27","1983/23",""," "
"Precipitation"
"Rainfall (mm)","256.9","174.1","151.6","98.0","56.6","45.2","26.0","37.6","53.6","189.7","285.2","256.7","1631.2","A"
"Snowfall (cm)","12.9","13.3","8.2","0.0","0.0","0.0","0.0","0.0","0.0","1.1","4.8","15.2","55.5","A"
"Precipitation (mm)","269.9","187.4","159.8","98.0","56.6","45.2","26.0","37.6","53.6","190.8","290.0","272.0","1686.8","A"
"Average Snow Depth (cm)","2","3","1","0","0","0","0","0","0","0","0","1","1","C"
"Median Snow Depth (cm)","1","2","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","1","2","0","0","0","0","0","0","0","0","0","6","1","C"
"Extreme Daily Rainfall (mm)","135.4","145.5","146.1","78.6","57.7","35.3","46.0","74.4","66.0","101.4","119.8","132.8","",""
"Date (yyyy/dd)","1973/14","1991/01","1974/09","2003/07","1973/23","2000/11","1974/16","1991/29","1972/20","2003/17","1983/14","1990/03",""," "
"Extreme Daily Snowfall (cm)","60.0","61.0","62.0","7.6","0.0","0.0","0.0","0.0","0.0","23.0","15.2","71.0","",""
"Date (yyyy/dd)","1978/03","1975/11","1996/03","1972/11","1971/01","1971/01","1971/01","1971/01","1971/01","1984/31","1973/19","1996/28",""," "
"Extreme Daily Precipitation (mm)","135.4","145.5","146.1","78.6","57.7","35.3","46.0","74.4","66.0","101.4","119.8","132.8","",""
"Date (yyyy/dd)","1973/14","1991/01","1974/09","2003/07","1973/23","2000/11","1974/16","1991/29","1972/20","2003/17","1983/14","1990/03",""," "
"Extreme Snow Depth (cm)","40","50","58","0","0","0","0","0","0","1","23","100","",""
"Date (yyyy/dd)","1991/09","1998/01","1996/04","1981/01","1981/01","1981/01","1981/01","1980/01","1981/01","1991/29","1984/01","1996/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.3","0.25","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.56","1.6","3.8","C"
"> 0 °C","29.7","28.0","30.9","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.4","29.4","361.4","C"
"> 10 °C","2.9","4.5","15.0","25.7","30.5","30.0","31.0","31.0","30.0","26.6","7.5","1.7","236.3","C"
"> 20 °C","0.0","0.0","0.04","0.92","5.7","13.1","23.4","24.6","11.1","0.29","0.0","0.0","79.2","C"
"> 30 °C","0.0","0.0","0.0","0.0","0.04","0.65","0.70","0.46","0.04","0.0","0.0","0.0","1.9","C"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","C"
"Days with Minimum Temperature"
"> 0 °C","16.0","13.9","19.6","25.4","30.8","30.0","30.9","31.0","30.0","28.9","20.7","15.3","292.2","A"
"<= 2 °C","20.3","19.3","18.0","9.9","2.2","0.0","0.0","0.0","0.23","6.1","14.6","21.7","112.3","A"
"<= 0 °C","15.0","14.2","11.2","4.6","0.23","0.0","0.0","0.0","0.0","2.2","9.3","15.6","72.2","A"
"< -2 °C","5.3","5.3","1.4","0.19","0.0","0.0","0.0","0.0","0.0","0.42","2.8","5.7","21.1","A"
"< -10 °C","0.15","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.15","0.64","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.3","14.9","16.9","14.8","12.0","10.5","6.4","5.9","8.2","16.1","20.2","18.2","162.3","A"
">= 5 mm","10.8","7.6","7.9","6.1","3.5","2.9","1.9","2.2","3.3","7.8","12.2","10.4","76.6","A"
">= 10 mm","7.8","5.0","4.4","3.1","1.2","1.1","0.50","1.2","1.7","5.5","8.7","7.4","47.6","A"
">= 25 mm","3.3","1.9","1.3","0.65","0.23","0.19","0.08","0.27","0.42","2.7","4.0","3.0","18.1","A"
"Days With Snowfall"
">= 0.2 cm","2.3","1.9","0.92","0.0","0.0","0.0","0.0","0.0","0.0","0.08","1.0","1.9","8.1","A"
">= 5 cm","0.74","0.93","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.40","0.92","3.4","A"
">= 10 cm","0.44","0.48","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.16","0.54","1.9","A"
">= 25 cm","0.04","0.04","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.28","A"
"Days with Precipitation"
">= 0.2 mm","19.6","16.2","17.2","14.8","12.0","10.5","6.4","5.9","8.2","16.2","20.5","19.2","166.7","A"
">= 5 mm","11.5","8.6","8.2","6.1","3.5","2.9","1.9","2.2","3.3","7.9","12.4","11.4","79.9","A"
">= 10 mm","8.4","5.5","4.5","3.1","1.2","1.1","0.50","1.2","1.7","5.6","8.8","8.0","49.6","A"
">= 25 mm","3.4","2.0","1.4","0.65","0.23","0.19","0.08","0.27","0.42","2.7","4.0","3.1","18.4","A"
"Days with Snow Depth"
">= 1 cm","3.4","4.7","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","4.3","14.6","D"
">= 5 cm","2.5","4.1","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.67","2.1","10.1","D"
">= 10 cm","2.0","3.3","0.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.33","1.6","7.8","D"
">= 20 cm","1.3","2.8","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.67","5.0","D"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","C"
"Above 18 °C","0.0","0.0","0.0","0.0","0.5","6.4","20.3","18.1","1.3","0.0","0.0","0.0","46.6","C"
"Above 15 °C","0.0","0.0","0.0","0.3","6.1","31.3","79.2","78.5","16.6","0.4","0.0","0.0","212.2","C"
"Above 10 °C","0.2","0.1","0.9","13.9","74.5","154.4","229.1","229.4","122.0","23.1","2.0","0.3","849.7","C"
"Above 5 °C","19.2","19.8","44.9","111.3","218.2","304.3","384.1","384.4","271.0","136.4","42.6","13.9","1950.0","C"
"Above 0 °C","116.4","116.6","183.0","260.3","373.2","454.3","539.1","539.4","421.0","289.4","164.7","99.3","3556.6","C"
"Below 0 °C","8.8","5.1","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.1","3.8","9.8","27.9","C"
"Below 5 °C","66.6","49.2","17.3","1.0","0.0","0.0","0.0","0.0","0.0","2.2","31.6","79.4","247.2","C"
