"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*NANAIMO A","BC"," 49°03'16.000"" N","123°52'12.000"" W","28.0 m","1025370","","YCD"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.5","4.3","6.3","9.0","12.5","15.6","18.1","18.2","14.9","9.9","5.6","3.1","10.1","A"
"Standard Deviation","1.4","1.5","1.1","0.9","1.3","1.2","1.1","0.9","1.0","0.8","1.6","1.6","1.3","A"
"Daily Maximum (°C)","6.9","8.5","11.0","14.1","17.7","20.8","23.9","24.3","20.9","14.6","9.3","6.3","14.8","A"
"Daily Minimum (°C)","0.1","0.0","1.7","3.9","7.2","10.3","12.3","12.1","8.9","5.2","1.8","-0.2","5.3","A"
"Extreme Maximum (°C)","15.6","18.3","21.7","26.1","34.3","34.5","36.1","36.7","33.2","29.3","19.4","18.2","",""
"Date (yyyy/dd)","1968/20","1968/27","1994/28","1998/30","1983/29","1987/29","1965/30","1960/09","1988/03","1987/01","1949/02","2005/24",""," "
"Extreme Minimum (°C)","-17.8","-16.7","-12.2","-5.0","-4.4","0.6","2.8","3.3","-1.1","-6.7","-16.1","-20.0","",""
"Date (yyyy/dd)","1950/31","1950/03","1951/10","1948/03","1949/16","1954/17","1954/03","1973/18","1947/17","1949/18","1955/14","1968/30",""," "
"Precipitation"
"Rainfall (mm)","167.8","115.2","106.9","67.2","54.2","43.4","25.4","28.4","35.8","101.2","186.5","166.1","1098.2","A"
"Snowfall (cm)","21.0","10.9","6.2","0.2","0.1","0.0","0.0","0.0","0.0","1.2","10.7","18.4","68.7","A"
"Precipitation (mm)","187.9","126.0","113.0","67.4","54.3","43.4","25.4","28.4","35.8","102.2","197.2","184.3","1165.4","A"
"Average Snow Depth (cm)","2","1","0","0","0","0","0","0","0","0","1","2","0","C"
"Median Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","1","0","0","0","0","0","0","0","0","0","3","5","1","C"
"Extreme Daily Rainfall (mm)","70.6","97.3","57.4","58.7","30.8","33.0","23.6","75.6","47.2","91.7","84.1","74.4","",""
"Date (yyyy/dd)","1968/18","1991/01","1997/17","1962/27","1984/25","2006/08","1949/23","1991/29","1953/29","1963/21","1955/02","1979/17",""," "
"Extreme Daily Snowfall (cm)","38.6","73.7","33.0","4.6","1.0","0.0","0.0","0.0","0.0","20.0","32.9","47.8","",""
"Date (yyyy/dd)","1971/13","1975/12","1991/01","1981/12","1996/08","1947/01","1947/07","1947/01","1947/01","1984/31","1984/01","1965/27",""," "
"Extreme Daily Precipitation (mm)","70.6","97.3","57.4","58.7","30.8","33.0","23.6","75.6","47.2","91.7","84.1","74.4","",""
"Date (yyyy/dd)","1968/18","1991/01","1997/17","1962/27","1984/25","2006/08","1949/23","1991/29","1953/29","1963/21","1955/02","1979/17",""," "
"Extreme Snow Depth (cm)","74","66","33","1","0","0","0","0","0","0","47","74","",""
"Date (yyyy/dd)","1966/04","1975/12","1962/05","1981/12","1955/01","1955/01","1955/01","1955/01","1955/01","1955/01","1985/27","1996/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","0.78","0.15","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.46","1.2","2.6","A"
"> 0 °C","30.2","28.1","30.9","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.5","29.8","362.6","A"
"> 10 °C","4.7","8.4","19.9","27.0","30.9","30.0","31.0","31.0","30.0","29.1","12.3","2.6","256.7","A"
"> 20 °C","0.0","0.0","0.08","2.2","8.2","15.2","25.6","26.9","16.7","2.0","0.0","0.0","96.9","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.19","1.3","2.8","2.1","0.28","0.0","0.0","0.0","6.7","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.04","0.0","0.0","0.0","0.0","0.12","A"
"Days with Minimum Temperature"
"> 0 °C","15.9","14.6","20.5","26.6","30.8","30.0","31.0","31.0","30.0","29.0","20.2","14.2","293.7","A"
"<= 2 °C","21.3","19.6","17.8","8.8","1.3","0.0","0.0","0.0","0.20","6.2","16.1","22.8","114.1","A"
"<= 0 °C","15.1","13.6","10.5","3.4","0.19","0.0","0.0","0.0","0.0","2.0","9.9","16.8","71.5","A"
"< -2 °C","8.0","7.9","3.1","0.35","0.0","0.0","0.0","0.0","0.0","0.42","4.4","8.6","32.7","A"
"< -10 °C","0.48","0.41","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.35","0.52","1.8","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.0","14.9","17.8","15.6","14.8","12.4","7.6","6.8","8.2","15.4","19.8","18.8","170.0","A"
">= 5 mm","9.2","6.3","6.3","4.4","3.8","3.0","1.8","1.8","2.1","6.2","10.5","9.5","64.9","A"
">= 10 mm","5.7","4.1","3.4","1.7","1.4","0.92","0.56","0.58","1.0","3.4","6.3","6.0","35.1","A"
">= 25 mm","1.8","0.81","0.58","0.15","0.04","0.08","0.0","0.12","0.12","0.77","1.9","1.6","8.0","A"
"Days With Snowfall"
">= 0.2 cm","3.1","2.3","1.0","0.04","0.08","0.0","0.0","0.0","0.0","0.08","1.2","3.2","11.0","A"
">= 5 cm","1.4","0.78","0.42","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.50","1.1","4.3","A"
">= 10 cm","0.70","0.33","0.19","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.38","0.76","2.4","A"
">= 25 cm","0.11","0.04","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.12","0.12","0.43","A"
"Days with Precipitation"
">= 0.2 mm","19.7","16.0","18.2","15.6","14.8","12.4","7.6","6.8","8.2","15.5","20.5","20.4","175.6","A"
">= 5 mm","10.6","7.0","6.7","4.4","3.8","3.0","1.8","1.8","2.1","6.3","11.0","10.4","68.8","A"
">= 10 mm","6.6","4.6","3.7","1.7","1.4","0.92","0.56","0.58","1.0","3.5","6.6","6.8","37.9","A"
">= 25 mm","1.9","0.93","0.65","0.15","0.04","0.08","0.0","0.12","0.12","0.77","2.1","1.8","8.7","A"
"Days with Snow Depth"
">= 1 cm","5.9","1.6","0.18","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.78","3.1","11.6","D"
">= 5 cm","4.6","1.2","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.65","1.9","8.5","D"
