"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*NEW DENVER","BC"," 49°59'45.006"" N","117°22'13.026"" W","568.0 m","1145460","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-1.7","-0.3","3.6","8.0","12.5","16.1","19.1","18.9","13.9","7.5","2.0","-1.9","8.1","A"
"Standard Deviation","1.9","1.9","1.2","1.0","1.4","1.4","1.7","1.4","1.8","1.0","2.2","2.1","1.9","A"
"Daily Maximum (°C)","0.5","2.9","8.1","13.9","18.9","22.4","26.1","25.9","19.8","11.5","4.3","0.2","12.9","A"
"Daily Minimum (°C)","-4.0","-3.5","-1.1","2.0","6.0","9.6","12.0","11.8","7.8","3.5","-0.4","-4.0","3.3","A"
"Extreme Maximum (°C)","10.6","14.0","21.0","27.2","33.5","35.5","38.5","37.2","35.5","24.0","18.3","11.5","",""
"Date (yyyy/dd)","1974/15","1995/25","2004/30","1977/25","1986/31","1992/25","2006/23","1971/11","1998/02","2003/06","1975/04","1980/26",""," "
"Extreme Minimum (°C)","-23.5","-21.0","-15.6","-7.2","-2.0","2.2","1.1","1.7","-1.5","-11.0","-23.5","-28.9","",""
"Date (yyyy/dd)","1979/01","1996/01","1976/04","1975/02","1978/20","1973/11","1971/04","1973/16","1984/28","1984/31","1985/28","1968/30",""," "
"Precipitation"
"Rainfall (mm)","43.1","36.8","54.8","60.8","66.0","84.2","60.8","54.9","55.0","69.8","86.1","39.0","711.5","A"
"Snowfall (cm)","57.6","20.3","7.9","0.7","0.1","0.0","0.0","0.0","0.0","0.3","19.1","55.2","161.1","A"
"Precipitation (mm)","100.8","57.1","62.7","61.6","66.1","84.2","60.8","54.9","55.0","70.1","105.2","94.2","872.6","A"
"Average Snow Depth (cm)","23","18","5","0","0","0","0","0","0","0","1","12","5","C"
"Median Snow Depth (cm)","21","18","4","0","0","0","0","0","0","0","0","10","4","C"
"Snow Depth at Month-end (cm)","23","13","0","0","0","0","0","0","0","0","4","21","5","C"
"Extreme Daily Rainfall (mm)","50.8","44.5","34.3","33.3","34.3","41.1","34.5","42.7","52.3","38.6","42.8","38.1","",""
"Date (yyyy/dd)","1971/29","1951/09","1945/18","1952/27","1934/30","1955/23","1936/10","1976/24","1926/15","1930/26","1985/01","1972/23",""," "
"Extreme Daily Snowfall (cm)","36.3","37.4","30.0","6.9","1.2","0.0","0.0","0.0","0.0","15.2","28.0","52.1","",""
"Date (yyyy/dd)","1943/14","1990/09","1935/28","1954/02","1985/10","1924/01","1924/01","1924/01","1924/01","1971/31","1984/01","1971/16",""," "
"Extreme Daily Precipitation (mm)","50.8","44.5","34.3","33.3","34.3","41.1","34.5","42.7","52.3","38.6","47.8","52.1","",""
"Date (yyyy/dd)","1971/29","1951/09","1945/18","1952/27","1934/30","1955/23","1936/10","1976/24","1926/15","1930/26","1985/01","1971/16",""," "
"Extreme Snow Depth (cm)","77","67","45","6","0","0","0","0","0","1","26","82","",""
"Date (yyyy/dd)","2004/28","1997/15","1997/06","1988/30","1981/01","1981/01","1981/01","1980/01","1981/01","1984/31","1984/02","1980/11",""," "
"Days with Maximum Temperature"
"<= 0 °C","11.8","5.6","0.68","0.0","0.0","0.0","0.0","0.0","0.0","0.08","2.1","14.0","34.3","C"
"> 0 °C","19.2","22.6","30.3","30.0","31.0","30.0","31.0","31.0","30.0","30.9","27.9","17.0","330.9","C"
"> 10 °C","0.0","0.15","8.1","23.3","30.1","29.9","31.0","31.0","29.8","18.7","1.0","0.0","203.0","C"
