"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*NOOTKA LIGHTSTATION","BC"," 49°36'00.000"" N","126°37'00.000"" W","15.8 m","1035614","","WCV"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","5.6","5.9","7.1","8.8","11.5","13.7","15.8","16.3","14.7","10.8","7.1","5.4","10.2","A"
"Standard Deviation","1.3","1.2","1.1","0.8","1.2","0.9","0.9","0.6","0.8","0.8","1.5","1.3","1.1","A"
"Daily Maximum (°C)","7.4","8.2","9.8","11.9","14.7","16.9","19.1","19.5","17.7","13.2","9.0","7.2","12.9","A"
"Daily Minimum (°C)","3.7","3.5","4.3","5.7","8.3","10.6","12.4","13.0","11.6","8.4","5.1","3.5","7.5","A"
"Extreme Maximum (°C)","18.5","16.5","18.5","23.0","27.5","30.0","34.0","34.0","26.5","22.5","22.5","18.0","",""
"Date (yyyy/dd)","1986/12","1992/25","1979/21","1999/16","1985/16","1989/03","2006/23","2002/13","1991/16","1996/09","1980/05","1996/31",""," "
"Extreme Minimum (°C)","-6.5","-10.0","-3.0","0.0","1.0","5.0","6.0","9.0","5.0","-1.0","-7.0","-5.5","",""
"Date (yyyy/dd)","1980/10","1989/02","2002/08","1981/11","1981/25","1991/03","1988/17","1980/28","1984/23","1984/31","1985/27","1983/23",""," "
"Precipitation"
"Rainfall (mm)","466.9","320.4","312.4","264.2","169.0","147.3","79.4","99.4","145.4","355.5","478.4","423.1","3261.4","A"
"Snowfall (cm)","4.7","5.0","1.8","0.4","0.0","0.0","0.0","0.0","0.0","0.0","1.8","4.7","18.3","A"
"Precipitation (mm)","471.6","325.4","314.2","264.6","169.0","147.3","79.4","99.4","145.4","355.5","480.2","427.7","3279.7","A"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Extreme Daily Rainfall (mm)","144.4","165.4","116.8","135.2","76.2","106.2","101.8","107.4","105.2","95.4","210.2","155.6","",""
"Date (yyyy/dd)","2007/01","1986/23","1985/31","1981/22","1986/25","1987/11","1997/07","1991/07","1980/28","1981/30","1978/06","1994/22",""," "
"Extreme Daily Snowfall (cm)","26.6","21.8","7.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","10.0","",""
"Date (yyyy/dd)","1980/09","1990/14","2005/20","1981/10","1979/01","1979/01","1979/01","1979/01","1979/01","1979/01","2006/28","2006/15",""," "
"Extreme Daily Precipitation (mm)","144.4","165.4","116.8","135.2","76.2","106.2","101.8","107.4","105.2","95.4","210.2","155.6","",""
"Date (yyyy/dd)","2007/01","1986/23","1985/31","1981/22","1986/25","1987/11","1997/07","1991/07","1980/28","1981/30","1978/06","1994/22",""," "
"Extreme Snow Depth (cm)","9","1","3","0","0","0","0","0","0","0","8","9","",""
"Date (yyyy/dd)","1982/01","2005/06","1989/01","1981/01","1981/01","1981/01","1981/01","1981/01","1981/01","1980/01","2006/29","1981/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","0.26","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.23","0.38","0.98","A"
"> 0 °C","30.7","28.1","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.8","30.6","364.2","A"
"> 10 °C","3.6","4.9","12.8","21.9","29.7","30.0","31.0","31.0","30.0","28.1","10.1","3.4","236.5","A"
"> 20 °C","0.0","0.0","0.0","0.32","1.6","3.4","8.6","9.7","4.7","0.19","0.0","0.0","28.5","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.16","0.08","0.0","0.0","0.0","0.0","0.24","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","27.7","25.9","30.2","29.9","31.0","30.0","31.0","31.0","30.0","30.9","28.9","28.1","354.5","A"
"<= 2 °C","10.0","9.1","5.9","1.4","0.15","0.0","0.0","0.0","0.0","0.19","4.3","10.2","41.2","A"
"<= 0 °C","3.3","2.3","0.77","0.08","0.0","0.0","0.0","0.0","0.0","0.12","1.1","2.9","10.6","A"
"< -2 °C","0.48","0.44","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.42","0.77","2.2","A"
"< -10 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","25.1","20.7","24.2","22.0","19.2","16.9","12.6","13.7","15.5","22.6","25.5","24.8","242.7","A"
