"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PENTICTON A","BC"," 49°27'47.000"" N","119°36'08.000"" W","344.4 m","1126150","71889","YYF"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-0.6","1.0","5.0","9.1","13.9","17.7","21.0","20.4","15.1","8.8","3.2","-1.1","9.5","A"
"Standard Deviation","2.3","2.1","1.3","1.1","1.3","1.4","1.6","1.1","1.4","1.0","2.3","2.5","0.7","A"
"Daily Maximum (°C)","1.8","4.7","10.4","15.7","20.8","24.7","28.7","28.0","22.2","14.3","6.5","1.4","14.9","A"
"Daily Minimum (°C)","-3.0","-2.8","-0.5","2.5","6.9","10.7","13.3","12.7","8.0","3.2","-0.2","-3.5","4.0","A"
"Extreme Maximum (°C)","15.7","16.6","21.7","29.6","33.9","37.8","40.6","38.9","36.6","28.9","19.4","14.4","",""
"Date (yyyy/dd)","1989/30","1988/21","1966/29","1987/27","1986/30","2008/29","1941/17","1971/08","1987/01","1947/03","1975/03","1941/02",""," "
"Extreme Minimum (°C)","-26.7","-26.7","-17.8","-9.0","-5.6","0.0","2.2","2.4","-3.0","-14.5","-22.3","-27.2","",""
"Date (yyyy/dd)","1950/25","1950/03","1951/11","2008/22","1954/01","1952/13","1971/07","2006/31","1984/29","1984/31","1985/27","1968/30",""," "
"Precipitation"
"Rainfall (mm)","12.6","14.0","20.3","25.4","39.3","46.3","28.7","28.3","24.6","26.0","21.8","11.4","298.5","A"
"Snowfall (cm)","18.3","7.6","3.5","0.6","0.0","0.0","0.0","0.0","0.0","0.1","7.5","21.1","58.7","A"
"Precipitation (mm)","26.9","19.8","23.6","26.0","39.3","46.3","28.7","28.3","24.6","26.0","28.1","28.6","346.0","A"
"Average Snow Depth (cm)","2","1","0","0","0","0","0","0","0","0","0","2","0","A"
"Median Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","1","0","A"
"Snow Depth at Month-end (cm)","1","0","0","0","0","0","0","0","0","0","1","5","1","A"
"Extreme Daily Rainfall (mm)","15.7","18.5","16.9","29.6","38.4","33.5","37.8","45.6","37.6","44.5","19.3","16.8","",""
"Date (yyyy/dd)","1945/06","1945/07","2001/25","1987/30","1988/13","1942/14","1950/28","2008/09","1989/01","1945/24","1949/26","2002/16",""," "
"Extreme Daily Snowfall (cm)","24.0","23.1","11.0","6.0","0.0","0.0","0.0","0.0","0.0","3.0","20.6","22.1","",""
"Date (yyyy/dd)","2004/24","1973/04","2002/16","2008/19","1941/01","1941/01","1941/01","1941/01","1941/01","1984/30","1975/30","1949/27",""," "
"Extreme Daily Precipitation (mm)","23.2","18.5","21.8","29.6","38.4","33.5","37.8","45.6","37.6","44.5","19.3","22.1","",""
"Date (yyyy/dd)","1982/23","1945/07","1998/02","1987/30","1988/13","1942/14","1950/28","2008/09","1989/01","1945/24","1949/26","1949/27",""," "
"Extreme Snow Depth (cm)","58","38","13","3","0","0","0","0","0","1","18","48","",""
"Date (yyyy/dd)","1972/19","1969/01","1962/05","2008/19","1955/01","1955/01","1955/01","1955/01","1955/01","1984/31","1970/28","1971/22",""," "
"Days with Maximum Temperature"
