"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PORT HARDY A","BC"," 50°40'49.000"" N","127°21'58.000"" W","21.6 m","1026270","71109","YZT"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.2","4.4","5.5","7.3","10.1","12.3","14.3","14.4","12.2","8.8","5.5","3.7","8.6","A"
"Standard Deviation","1.4","1.4","1.0","0.8","0.9","0.7","0.5","0.6","0.7","0.7","1.5","1.4","0.5","A"
"Daily Maximum (°C)","6.5","7.3","8.9","11.2","13.9","15.9","17.8","18.1","15.8","11.8","8.1","6.0","11.8","A"
"Daily Minimum (°C)","1.8","1.4","2.0","3.4","6.1","8.7","10.7","10.7","8.5","5.7","3.0","1.3","5.3","A"
"Extreme Maximum (°C)","13.7","16.7","19.8","23.3","33.4","31.7","26.7","28.7","25.8","25.6","18.9","14.8","",""
"Date (yyyy/dd)","1981/21","1968/27","1994/29","1987/27","1983/29","1955/09","1961/12","2010/15","2009/12","1987/01","1949/02","1980/26",""," "
"Extreme Minimum (°C)","-14.4","-11.8","-12.8","-3.3","-1.1","1.7","2.8","3.3","-9.9","-5.4","-12.5","-12.2","",""
"Date (yyyy/dd)","1950/14","1989/02","1951/06","1954/30","1956/03","1972/01","1949/03","1973/19","2000/12","1984/31","1985/27","1968/28",""," "
"Precipitation"
"Rainfall (mm)","235.0","151.9","154.8","123.5","79.2","80.7","53.7","73.1","109.6","256.5","307.9","239.9","1865.7","A"
"Snowfall (cm)","12.4","8.8","4.9","1.5","0.1","0.0","0.0","0.0","0.0","0.1","3.9","10.8","42.7","A"
"Precipitation (mm)","247.0","160.2","159.7","125.0","79.3","80.7","53.7","73.1","109.6","256.7","311.7","250.9","1907.6","A"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","A"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","A"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","1","0","0","A"
"Extreme Daily Rainfall (mm)","98.3","69.8","76.0","74.8","40.4","54.8","40.6","64.4","111.6","113.7","86.6","153.8","",""
"Date (yyyy/dd)","1947/17","1999/11","2005/31","1986/19","2005/22","2002/17","2005/31","1993/22","2010/25","1977/22","1963/25","1980/10",""," "
"Extreme Daily Snowfall (cm)","29.2","25.8","21.1","9.0","1.5","0.0","0.0","0.0","0.0","3.8","33.4","23.4","",""
"Date (yyyy/dd)","1954/20","1982/10","1948/22","2010/08","1984/03","1944/01","1944/01","1944/01","1944/01","1971/26","2006/29","1997/20",""," "
"Extreme Daily Precipitation (mm)","98.3","69.8","76.0","74.8","40.4","54.8","40.6","64.4","111.6","113.7","86.6","153.8","",""
"Date (yyyy/dd)","1947/17","1999/11","2005/31","1986/19","2005/22","2002/17","2005/31","1993/22","2010/25","1977/22","1963/25","1980/10",""," "
"Extreme Snow Depth (cm)","33","24","30","3","0","0","0","0","0","1","17","23","",""
"Date (yyyy/dd)","1965/08","1990/15","1955/06","1966/11","1955/01","1955/01","1955/01","1955/01","1955/01","1984/30","2006/30","1971/14",""," "
"Days with Maximum Temperature"
"<= 0 °C","0.46","0.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.57","0.83","2.1","A"
"> 0 °C","30.5","28.0","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.4","30.2","363.1","A"
"> 10 °C","2.7","3.5","9.6","19.2","29.3","30.0","31.0","31.0","30.0","23.7","6.0","0.83","216.6","A"
"> 20 °C","0.0","0.0","0.0","0.34","1.2","1.6","4.5","5.1","1.4","0.10","0.0","0.0","14.2","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","21.6","18.7","23.1","27.0","30.9","30.0","31.0","31.0","30.0","29.9","23.8","20.7","317.7","A"
"<= 2 °C","15.6","15.1","16.0","9.8","1.7","0.03","0.0","0.0","0.33","3.5","11.7","17.8","91.5","A"
"<= 0 °C","9.4","9.5","7.9","3.0","0.13","0.0","0.0","0.0","0.03","1.1","6.2","10.3","47.5","A"
"< -2 °C","4.4","3.5","1.7","0.03","0.0","0.0","0.0","0.0","0.03","0.24","2.1","4.2","16.2","A"
"< -10 °C","0.0","0.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.14","0.45","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","21.5","17.2","20.8","18.9","16.3","15.7","11.2","11.9","14.5","21.8","22.7","20.6","213.0","A"
">= 5 mm","12.8","8.0","9.8","8.1","5.7","5.6","3.8","4.5","6.5","13.6","14.7","13.0","106.1","A"
">= 10 mm","8.3","5.0","5.4","4.1","2.1","2.3","1.6","2.2","3.6","9.4","10.6","8.2","62.9","A"
">= 25 mm","2.7","1.5","0.90","0.70","0.13","0.33","0.17","0.50","0.77","2.8","3.7","2.8","16.9","A"
"Days With Snowfall"
">= 0.2 cm","3.5","2.5","2.0","1.1","0.13","0.0","0.0","0.0","0.0","0.21","1.6","3.7","14.6","A"
">= 5 cm","0.69","0.52","0.24","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.72","2.4","A"
">= 10 cm","0.28","0.21","0.10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07","0.17","0.83","A"
">= 25 cm","0.03","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.09","A"
"Days with Precipitation"
">= 0.2 mm","22.6","18.0","21.1","18.9","16.3","15.7","11.2","11.9","14.5","21.8","23.3","21.6","216.9","A"
