"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*PRINCETON A","BC"," 49°28'04.000"" N","120°30'45.000"" W","701.7 m","1126510","","YDC"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-5.0","-2.3","2.8","7.1","11.3","14.8","17.9","17.9","13.2","6.8","-0.3","-5.6","6.6","A"
"Standard Deviation","2.8","2.4","1.7","1.1","1.5","1.4","1.6","1.2","1.7","1.1","2.9","3.1","2.2","A"
"Daily Maximum (°C)","-1.4","2.6","9.1","14.4","18.8","22.3","26.3","26.7","21.7","13.2","3.5","-2.4","12.9","A"
"Daily Minimum (°C)","-8.6","-7.2","-3.4","-0.3","3.7","7.3","9.5","9.0","4.7","0.3","-4.0","-8.9","0.2","A"
"Extreme Maximum (°C)","13.3","15.2","23.5","31.1","36.3","36.7","41.7","38.7","38.8","30.2","21.1","12.2","",""
"Date (yyyy/dd)","1983/11","1986/24","1994/30","1987/27","1983/29","1961/16","1941/17","1998/04","1988/03","1980/05","1975/04","1941/02",""," "
"Extreme Minimum (°C)","-41.1","-33.9","-33.3","-11.1","-8.3","-2.2","0.0","-1.2","-6.7","-23.1","-34.5","-42.8","",""
"Date (yyyy/dd)","1950/25","1956/15","1955/04","1951/19","1954/01","1939/01","1952/06","1992/23","1972/25","1984/31","1985/28","1968/30",""," "
"Precipitation"
"Rainfall (mm)","12.1","7.7","8.0","16.7","28.9","37.6","29.6","24.3","23.7","23.5","26.9","6.7","245.7","A"
"Snowfall (cm)","33.9","16.2","10.2","1.9","0.7","0.0","0.0","0.0","0.1","3.0","21.6","37.7","125.1","A"
"Precipitation (mm)","39.7","20.5","16.5","18.4","29.6","37.6","29.6","24.3","23.8","26.1","44.5","36.4","346.9","A"
"Average Snow Depth (cm)","25","23","7","0","0","0","0","0","0","0","3","13","6","C"
"Median Snow Depth (cm)","25","24","5","0","0","0","0","0","0","0","1","13","6","C"
"Snow Depth at Month-end (cm)","27","17","0","0","0","0","0","0","0","0","6","23","6","C"
"Extreme Daily Rainfall (mm)","32.7","36.3","19.1","33.0","34.3","30.5","36.8","29.7","22.4","42.5","32.0","121.9","",""
"Date (yyyy/dd)","1986/18","1949/16","1972/05","1988/17","1957/19","1959/08","1962/08","1948/13","1938/04","2003/20","1949/26","1936/21",""," "
"Extreme Daily Snowfall (cm)","40.9","29.0","21.0","11.4","8.6","0.0","0.0","0.0","1.4","24.1","40.0","57.2","",""
"Date (yyyy/dd)","1972/11","1972/27","1997/15","1968/12","1988/02","1937/01","1937/01","1937/01","1985/06","1945/24","1990/24","1949/27",""," "
"Extreme Daily Precipitation (mm)","47.1","65.0","35.6","33.0","34.3","30.5","36.8","29.7","22.4","42.5","39.8","121.9","",""
"Date (yyyy/dd)","1986/18","1949/16","1972/05","1988/17","1957/19","1959/08","1962/08","1948/13","1938/04","2003/20","2003/18","1936/21",""," "
"Extreme Snow Depth (cm)","90","89","79","20","5","0","0","0","0","10","43","100","",""
"Date (yyyy/dd)","1997/01","1972/27","1972/05","1975/01","1955/13","1955/01","1955/01","1955/01","1955/01","1971/30","1990/25","1996/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","16.2","6.6","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.38","5.9","20.4","50.6","A"
"> 0 °C","14.8","21.6","29.9","30.0","31.0","30.0","31.0","31.0","30.0","30.6","24.1","10.6","314.6","A"
"> 10 °C","0.16","0.56","12.4","24.3","29.9","29.8","31.0","31.0","29.7","22.8","2.0","0.0","213.6","A"
"> 20 °C","0.0","0.0","0.35","3.8","11.2","18.7","26.4","27.0","17.4","3.0","0.0","0.0","107.6","A"
"> 30 °C","0.0","0.0","0.0","0.04","1.3","2.7","8.5","9.2","2.5","0.0","0.0","0.0","24.2","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.15","0.12","1.4","1.3","0.15","0.0","0.0","0.0","3.1","A"
"Days with Minimum Temperature"
