"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*QUALICUM R FISH RESEARCH","BC"," 49°23'37.620"" N","124°37'02.054"" W","7.6 m","1026565","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.9","4.2","5.9","8.6","12.0","14.9","17.1","16.7","13.6","9.2","5.6","3.5","9.6","A"
"Standard Deviation","1.4","1.4","1.0","0.9","1.1","0.9","0.9","0.9","1.0","0.8","1.6","1.5","1.2","A"
"Daily Maximum (°C)","6.5","7.5","9.9","12.9","16.7","19.6","22.3","22.1","18.7","13.0","8.5","5.9","13.6","A"
"Daily Minimum (°C)","1.2","0.8","2.0","4.1","7.3","10.1","11.8","11.3","8.4","5.3","2.7","0.9","5.5","A"
"Extreme Maximum (°C)","14.5","16.1","19.5","24.0","31.5","31.5","32.0","31.1","32.0","23.5","17.8","17.0","",""
"Date (yyyy/dd)","2002/06","1977/19","2004/29","1998/30","1983/29","2004/18","2006/21","1977/04","1987/01","1992/01","1975/04","2005/24",""," "
"Extreme Minimum (°C)","-15.6","-13.0","-9.0","-2.8","0.0","2.8","5.0","4.4","-0.5","-6.0","-14.0","-14.4","",""
"Date (yyyy/dd)","1969/30","1989/03","1989/03","1968/12","1975/24","1973/01","1971/02","1974/26","1983/28","1984/31","1985/29","1968/28",""," "
"Precipitation"
"Rainfall (mm)","200.6","131.1","116.3","79.4","51.3","45.3","26.0","34.6","46.3","146.8","214.0","180.7","1272.2","A"
"Snowfall (cm)","10.4","8.8","4.3","0.0","0.0","0.0","0.0","0.0","0.0","0.4","4.2","9.2","37.2","A"
"Precipitation (mm)","211.0","139.9","120.6","79.4","51.3","45.3","26.0","34.6","46.3","147.2","218.1","189.8","1309.4","A"
"Average Snow Depth (cm)","1","1","0","0","0","0","0","0","0","0","0","1","0","C"
"Median Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","1","0","0","0","0","0","0","0","0","0","2","4","1","A"
"Extreme Daily Rainfall (mm)","117.3","98.6","117.0","42.0","27.7","34.2","30.6","66.0","41.6","80.4","85.1","85.4","",""
"Date (yyyy/dd)","1973/14","1991/01","1997/17","1997/15","1973/23","1980/25","1997/07","1991/29","1983/17","1981/30","1966/27","1980/26",""," "
"Extreme Daily Snowfall (cm)","49.0","45.7","21.6","4.6","0.0","0.0","0.0","0.0","0.0","6.4","21.6","45.7","",""
"Date (yyyy/dd)","1978/03","1975/11","1996/03","1972/11","1963/01","1963/01","1963/01","1962/01","1962/01","1984/31","2006/29","1968/30",""," "
"Extreme Daily Precipitation (mm)","117.3","98.6","117.0","42.0","27.7","34.2","30.6","66.0","41.6","80.4","85.1","85.4","",""
"Date (yyyy/dd)","1973/14","1991/01","1997/17","1997/15","1973/23","1980/25","1997/07","1991/29","1983/17","1981/30","1966/27","1980/26",""," "
"Extreme Snow Depth (cm)","37","30","28","0","0","0","0","0","0","2","30","72","",""
