"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*SALTSPRING ST MARY'S L","BC"," 48°53'17.000"" N","123°32'47.000"" W","45.7 m","1016995","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.3","5.0","7.0","9.6","12.9","15.8","18.1","18.4","15.4","10.8","6.6","4.1","10.7","A"
"Standard Deviation","1.4","1.4","1.1","1.0","1.3","1.3","1.2","1.0","1.2","1.0","1.6","1.5","1.4","A"
"Daily Maximum (°C)","6.5","7.8","10.4","13.5","17.1","20.1","22.7","22.8","19.5","13.8","8.8","6.1","14.1","A"
"Daily Minimum (°C)","2.0","2.2","3.5","5.6","8.7","11.5","13.5","13.9","11.3","7.7","4.3","2.1","7.2","A"
"Extreme Maximum (°C)","14.0","15.0","19.5","25.5","29.5","31.5","33.5","32.0","31.5","25.5","16.0","17.0","",""
"Date (yyyy/dd)","2003/26","1992/28","1994/28","1998/30","1983/29","1987/29","1998/27","1981/08","1988/03","1987/01","1989/09","1980/26",""," "
"Extreme Minimum (°C)","-10.0","-10.5","-6.0","-1.0","2.0","4.4","5.0","8.0","5.0","-3.0","-10.0","-11.0","",""
"Date (yyyy/dd)","1979/01","1989/02","1989/03","2002/03","1985/11","1976/01","1988/04","1980/29","1981/29","1984/31","1985/27","1990/29",""," "
"Precipitation"
"Rainfall (mm)","152.0","95.5","86.2","56.8","43.0","37.4","23.2","28.0","33.1","93.5","163.5","142.8","955.0","A"
"Snowfall (cm)","10.1","3.1","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.5","4.4","11.5","32.0","A"
"Precipitation (mm)","162.1","98.5","88.6","56.8","43.0","37.4","23.2","28.0","33.1","94.0","167.9","154.3","987.0","A"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","D"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Extreme Daily Rainfall (mm)","71.1","49.9","52.2","51.2","22.6","39.0","21.1","58.8","58.5","73.2","62.0","55.0","",""
"Date (yyyy/dd)","1999/28","1991/01","1997/17","1991/03","1984/01","2006/08","1977/03","1991/29","1981/27","2003/16","1995/07","1979/16",""," "
"Extreme Daily Snowfall (cm)","20.0","11.5","16.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","19.0","49.0","",""
"Date (yyyy/dd)","2005/07","1989/17","1991/01","1976/01","1976/01","1976/01","1976/01","1976/01","1976/01","1984/31","1985/26","1996/28",""," "
"Extreme Daily Precipitation (mm)","71.1","49.9","52.2","51.2","22.6","39.0","21.1","58.8","58.5","73.2","62.0","55.0","",""
"Date (yyyy/dd)","1999/28","1991/01","1997/17","1991/03","1984/01","2006/08","1977/03","1991/29","1981/27","2003/16","1995/07","1979/16",""," "
"Extreme Snow Depth (cm)","0","12","0","0","0","0","0","0","0","0","0","0","",""
"Date (yyyy/dd)","1981/01","1990/01","1981/01","1981/01","1981/01","1981/01","1981/01","1980/01","1981/01","1981/01","1980/01","1980/01",""," "
"Days with Maximum Temperature"
"<= 0 °C","1.1","0.24","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.62","1.3","3.3","A"
"> 0 °C","29.9","28.0","30.9","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.4","29.7","361.9","A"
"> 10 °C","2.8","4.7","15.5","25.2","30.7","30.0","31.0","31.0","30.0","27.6","8.5","1.6","238.5","A"
"> 20 °C","0.0","0.0","0.0","0.92","5.6","12.0","22.5","23.5","11.0","0.69","0.0","0.0","76.3","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.16","0.80","0.19","0.04","0.0","0.0","0.0","1.2","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","22.1","20.8","28.3","29.8","30.9","30.0","30.8","31.0","30.0","30.9","27.4","22.6","334.5","A"
"<= 2 °C","15.5","14.0","9.0","2.5","0.08","0.0","0.0","0.0","0.0","0.85","6.3","15.5","63.7","A"
"<= 0 °C","8.9","7.5","2.7","0.15","0.0","0.0","0.0","0.0","0.0","0.04","2.6","8.1","29.9","A"
"< -2 °C","2.8","1.6","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.81","2.0","7.4","A"
"< -10 °C","0.0","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.08","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","18.3","15.2","17.1","14.5","11.6","9.9","5.8","5.7","7.7","15.1","20.2","19.2","160.4","A"
">= 5 mm","8.7","6.0","6.0","3.7","3.0","2.5","1.8","1.8","1.9","5.8","10.1","8.8","60.0","A"
">= 10 mm","5.0","3.1","2.3","1.4","0.88","0.77","0.62","1.0","0.85","3.1","6.0","5.0","29.9","A"
">= 25 mm","1.6","0.54","0.31","0.12","0.0","0.08","0.0","0.12","0.12","0.65","1.1","1.2","5.9","A"
"Days With Snowfall"
">= 0.2 cm","1.7","0.92","0.58","0.0","0.0","0.0","0.0","0.0","0.0","0.08","0.96","1.8","6.1","A"
">= 5 cm","0.81","0.23","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.31","0.84","2.4","A"
">= 10 cm","0.44","0.12","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.32","1.2","A"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.04","A"
"Days with Precipitation"
">= 0.2 mm","19.4","15.7","17.4","14.5","11.6","9.9","5.8","5.7","7.7","15.2","20.9","20.4","164.1","A"
">= 5 mm","9.6","6.2","6.1","3.7","3.0","2.5","1.8","1.8","1.9","5.9","10.3","9.6","62.3","A"
">= 10 mm","5.4","3.3","2.5","1.4","0.88","0.77","0.62","1.0","0.85","3.1","6.2","5.4","31.4","A"
">= 25 mm","1.7","0.54","0.31","0.12","0.0","0.08","0.0","0.12","0.12","0.65","1.1","1.2","6.0","A"
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.2","0.0","0.0","0.0","0.0","0.9","C"
"Above 18 °C","0.0","0.0","0.0","0.0","1.8","12.9","31.6","33.4","5.9","0.0","0.0","0.0","85.6","C"
"Above 15 °C","0.0","0.0","0.0","0.5","13.2","45.5","97.8","104.1","35.7","1.5","0.0","0.0","298.2","C"
"Above 10 °C","0.1","0.1","2.4","23.6","95.8","175.8","250.3","257.9","161.9","44.2","3.4","0.2","1015.6","C"
"Above 5 °C","26.1","28.6","69.2","137.1","246.0","325.7","405.3","412.9","311.8","180.1","63.6","21.6","2228.0","C"
"Above 0 °C","137.7","143.5","217.9","286.9","401.0","475.7","560.3","567.9","461.8","334.5","200.4","134.0","3921.5","C"
"Below 0 °C","4.7","2.1","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.1","3.1","5.7","15.8","C"
