"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*SHAWNIGAN LAKE","BC"," 48°38'49.010"" N","123°37'35.070"" W","159.0 m","1017230","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","3.4","4.1","6.1","8.7","12.1","15.1","17.7","17.9","14.9","10.0","5.6","3.1","9.9","A"
"Standard Deviation","1.5","1.5","1.2","1.0","1.3","1.2","1.1","0.9","1.1","0.9","1.6","1.4","1.3","A"
"Daily Maximum (°C)","6.3","7.8","10.4","13.6","17.2","20.2","23.3","23.6","20.5","14.1","8.5","5.6","14.3","A"
"Daily Minimum (°C)","0.5","0.4","1.7","3.8","7.0","10.0","12.0","12.0","9.3","5.8","2.6","0.5","5.5","A"
"Extreme Maximum (°C)","15.0","18.3","22.2","30.0","33.9","35.6","37.2","36.1","33.5","28.3","20.0","16.0","",""
"Date (yyyy/dd)","2005/19","1963/10","1930/26","1934/22","1947/26","1925/25","1941/16","1916/24","1988/03","1935/02","1949/01","1980/26",""," "
"Extreme Minimum (°C)","-21.1","-16.7","-11.7","-5.6","-3.9","0.0","3.9","3.3","-3.9","-7.2","-15.6","-15.0","",""
"Date (yyyy/dd)","1950/30","1950/03","1955/05","1936/01","1954/01","1918/02","1918/02","1935/16","1926/24","1935/30","1955/14","1927/30",""," "
"Precipitation"
"Rainfall (mm)","195.1","120.7","112.5","70.9","50.6","40.0","23.2","27.9","33.3","114.1","214.2","179.7","1182.0","A"
"Snowfall (cm)","20.3","14.1","6.8","0.1","0.0","0.0","0.0","0.0","0.0","0.7","11.2","14.9","67.9","A"
"Precipitation (mm)","215.3","134.7","119.2","71.0","50.6","40.0","23.2","27.9","33.3","114.7","225.4","194.6","1250.0","A"
"Average Snow Depth (cm)","3","2","0","0","0","0","0","0","0","0","1","2","1","A"
"Median Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","0","0","A"
"Snow Depth at Month-end (cm)","2","0","0","0","0","0","0","0","0","0","4","5","1","A"
"Extreme Daily Rainfall (mm)","95.6","68.6","63.8","73.4","53.1","36.8","30.0","63.5","63.0","117.2","82.0","91.0","",""
"Date (yyyy/dd)","1986/18","1949/16","1997/18","1991/03","1931/16","1931/15","1998/03","1975/22","1924/22","2003/16","1973/27","1979/13",""," "
"Extreme Daily Snowfall (cm)","55.9","53.3","41.9","5.1","0.0","0.0","0.0","0.0","0.0","10.0","48.3","66.0","",""
