"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*SMITHERS A","BC"," 54°49'29.000"" N","127°10'58.000"" W","521.8 m","1077500","","YYD"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-7.2","-4.4","0.1","4.8","9.4","13.0","15.2","14.6","9.9","4.4","-2.1","-7.1","4.2","A"
"Standard Deviation","3.7","3.1","2.1","1.2","1.6","1.5","1.2","0.9","1.1","1.2","2.9","3.9","2.0","A"
"Daily Maximum (°C)","-3.5","0.2","5.2","10.9","15.9","19.4","21.6","21.3","15.8","8.8","1.0","-3.6","9.4","A"
"Daily Minimum (°C)","-11.0","-8.8","-4.9","-1.3","2.9","6.5","8.6","7.9","4.0","-0.1","-5.2","-10.7","-1.0","A"
"Extreme Maximum (°C)","15.6","11.9","18.9","25.8","35.8","34.2","36.0","35.2","31.1","24.4","15.6","13.6","",""
"Date (yyyy/dd)","1963/06","1990/22","2004/29","2005/25","1983/30","2004/20","2009/30","1990/12","1988/03","1987/01","1967/21","2005/10",""," "
"Extreme Minimum (°C)","-43.9","-35.6","-33.3","-18.3","-7.2","-4.1","-1.1","-2.2","-6.7","-22.0","-32.4","-39.0","",""
"Date (yyyy/dd)","1950/13","1949/19","1955/03","1948/04","1954/01","1988/02","1947/02","1946/16","1948/23","1984/31","1985/27","1996/29",""," "
"Precipitation"
"Rainfall (mm)","10.1","5.5","6.7","18.7","37.4","55.2","45.6","43.8","53.8","56.9","25.6","8.0","367.2","A"
"Snowfall (cm)","44.5","23.5","16.7","5.6","0.7","0.0","0.0","0.0","0.0","8.6","37.4","45.6","182.7","A"
