"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*SPARWOOD","BC"," 49°44'43.000"" N","114°52'58.000"" W","1137.7 m","1157630","","WSW"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-6.5","-4.5","0.2","4.8","9.1","12.7","15.8","15.5","10.5","4.8","-2.0","-7.3","4.4","A"
"Standard Deviation","3.1","3.1","2.1","1.3","1.4","1.3","1.6","1.3","1.7","1.2","3.2","3.1","2.3","A"
"Daily Maximum (°C)","-2.2","0.5","5.4","10.9","15.9","19.6","23.8","24.2","18.2","10.7","1.7","-3.4","10.4","A"
"Daily Minimum (°C)","-10.7","-9.6","-5.1","-1.3","2.3","5.8","7.7","6.7","2.9","-1.1","-5.6","-11.3","-1.6","A"
"Extreme Maximum (°C)","11.9","13.8","20.6","25.6","31.3","32.5","34.9","36.5","34.2","27.2","16.9","10.5","",""
"Date (yyyy/dd)","2005/24","1995/24","2004/30","1987/27","1986/30","1992/23","2002/12","1981/12","1988/02","1992/02","1981/02","1980/16",""," "
"Extreme Minimum (°C)","-37.9","-34.6","-29.9","-15.0","-6.7","-3.3","0.0","-3.5","-8.5","-22.2","-34.0","-39.8","",""
"Date (yyyy/dd)","1998/12","1989/03","2002/21","1982/03","2002/08","2000/01","1982/23","1992/24","2000/23","1991/29","1985/27","1990/29",""," "
"Precipitation"
"Rainfall (mm)","17.3","12.4","17.0","27.9","52.0","67.7","46.8","34.8","43.4","39.6","39.1","13.2","411.0","A"
"Snowfall (cm)","50.4","37.0","31.7","17.4","8.6","1.8","0.0","0.1","4.2","11.3","47.3","54.2","264.0","A"
"Precipitation (mm)","53.9","40.9","44.2","41.4","60.4","69.3","46.8","34.9","47.4","48.8","72.1","53.4","613.3","A"
"Average Snow Depth (cm)","16","14","5","0","0","0","0","0","0","0","5","13","4","D"
"Median Snow Depth (cm)","16","14","4","0","0","0","0","0","0","0","3","13","4","D"
"Snow Depth at Month-end (cm)","15","11","1","0","0","0","0","0","0","1","9","17","4","C"
"Extreme Daily Rainfall (mm)","27.8","35.8","15.8","27.1","43.5","45.2","27.2","22.1","33.6","38.4","47.0","29.0","",""
"Date (yyyy/dd)","1984/04","1986/24","2003/12","1996/23","2002/21","1995/06","1990/25","2005/17","2005/29","1990/04","1999/12","2004/10",""," "
"Extreme Daily Snowfall (cm)","24.0","24.4","27.0","32.0","32.4","15.0","0.0","1.0","47.2","21.0","41.0","65.0","",""
"Date (yyyy/dd)","2004/26","1986/15","2002/04","2001/02","2002/02","1981/13","1980/01","1992/21","2005/10","2006/29","1990/24","1980/03",""," "
"Extreme Daily Precipitation (mm)","31.7","35.8","27.0","32.3","49.1","45.2","27.2","22.1","60.2","38.4","47.0","65.0","",""
"Date (yyyy/dd)","1986/18","1986/24","2002/04","2003/26","2002/21","1995/06","1990/25","2005/17","2005/10","1990/04","1999/12","1980/03",""," "
"Extreme Snow Depth (cm)","56","64","40","26","27","7","0","0","34","18","44","133","",""
"Date (yyyy/dd)","1997/01","1982/13","2002/06","2001/03","1981/05","2005/07","1981/01","1980/01","2005/11","1991/26","1993/22","1980/05",""," "
"Days with Maximum Temperature"
"<= 0 °C","16.6","10.3","3.7","0.46","0.0","0.0","0.0","0.0","0.0","1.0","9.0","20.2","61.3","A"
"> 0 °C","14.4","17.9","27.4","29.5","31.0","30.0","31.0","31.0","30.0","30.0","21.0","10.8","304.0","A"
"> 10 °C","0.15","0.44","5.1","16.3","25.8","29.1","31.0","30.8","26.7","16.6","1.5","0.0","183.6","A"
"> 20 °C","0.0","0.0","0.04","1.6","7.5","13.7","23.1","24.3","12.3","1.5","0.0","0.0","84.0","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.16","0.31","3.4","3.2","0.62","0.0","0.0","0.0","7.6","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.0","0.0","0.0","0.04","A"
"Days with Minimum Temperature"
"> 0 °C","2.5","2.7","4.4","10.2","22.2","28.9","31.0","30.7","22.6","12.2","6.1","1.6","175.1","A"
"<= 2 °C","30.3","27.7","29.4","24.8","15.1","4.3","0.92","2.4","13.3","23.2","27.3","30.8","229.5","A"
"<= 0 °C","28.4","25.6","26.7","19.9","8.8","1.1","0.04","0.32","7.4","18.8","23.9","29.4","190.1","A"
"< -2 °C","25.0","22.4","21.1","12.2","3.4","0.08","0.0","0.04","2.8","12.8","18.4","26.4","144.7","A"
"< -10 °C","14.4","11.7","5.0","0.54","0.0","0.0","0.0","0.0","0.0","0.92","6.9","15.8","55.3","A"
"< -20 °C","5.3","3.3","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.12","1.4","5.1","15.9","A"
"< - 30 °C","0.89","0.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.16","0.72","2.4","A"
"Days with Rainfall"
">= 0.2 mm","3.6","2.6","5.8","8.8","14.0","16.3","11.4","10.3","10.1","9.7","6.6","3.0","102.3","A"
">= 5 mm","1.2","0.78","0.85","1.8","3.1","4.2","3.4","2.4","2.9","2.4","2.4","0.80","26.1","A"
">= 10 mm","0.48","0.33","0.31","0.50","1.2","1.6","1.2","0.76","1.2","0.88","1.2","0.40","10.1","A"
">= 25 mm","0.07","0.04","0.0","0.04","0.24","0.19","0.04","0.0","0.08","0.12","0.24","0.04","1.1","A"
"Days With Snowfall"
">= 0.2 cm","13.5","9.1","8.7","5.0","1.6","0.23","0.0","0.08","0.81","3.1","10.1","13.4","65.6","A"
">= 5 cm","3.2","2.3","2.1","1.1","0.44","0.15","0.0","0.0","0.08","0.88","3.1","3.6","17.0","A"
">= 10 cm","1.4","1.1","0.62","0.38","0.28","0.08","0.0","0.0","0.08","0.23","1.3","1.4","6.9","A"
">= 25 cm","0.0","0.0","0.04","0.08","0.08","0.0","0.0","0.0","0.08","0.0","0.16","0.16","0.60","A"
"Days with Precipitation"
">= 0.2 mm","14.7","10.3","12.2","11.9","14.7","16.3","11.4","10.4","10.3","11.5","15.0","14.4","153.0","A"
">= 5 mm","3.4","2.8","2.9","2.8","3.4","4.3","3.4","2.5","2.9","3.2","4.4","3.4","39.2","A"
">= 10 mm","1.3","0.96","1.1","0.88","1.5","1.7","1.2","0.76","1.3","1.1","2.1","1.3","15.1","A"
">= 25 mm","0.07","0.16","0.04","0.08","0.32","0.23","0.04","0.0","0.15","0.15","0.32","0.12","1.7","A"
"Wind"
"Maximum Hourly Speed (km/h)","67.0","83.0","59.0","52.0","48.0","44.0","37.0","44.0","44.0","63.0","59.0","74.0","83.0",""
"Date (yyyy/dd)","1989/31","1994/23","1991/04","1991/04","2009/18","1992/23","1981/14","1984/26","1996/30","1984/30","1982/20","1992/22","1994/23"," "
"Direction of Maximum Hourly Speed","SE","SE","SE","S","SE","S","SW","S","SE","SE","SE","SE","SE",""
