"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*STEWART A","BC"," 55°56'10.000"" N","129°59'06.000"" W","7.3 m","1067742","","ZST"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-3.0","-1.1","1.9","6.1","10.7","13.9","15.1","14.3","11.1","6.3","0.6","-2.1","6.1","A"
"Standard Deviation","2.8","2.0","1.4","1.2","1.5","1.1","0.9","0.9","0.9","1.0","2.4","2.4","1.6","A"
"Daily Maximum (°C)","-0.5","2.3","5.8","11.0","15.8","18.9","19.8","18.8","14.7","8.9","2.7","0.1","9.9","A"
"Daily Minimum (°C)","-5.5","-4.5","-2.0","1.1","5.5","8.9","10.4","9.8","7.4","3.6","-1.7","-4.3","2.4","A"
"Extreme Maximum (°C)","10.0","11.3","15.6","25.5","30.8","33.1","33.0","32.7","26.2","20.2","11.6","11.2","",""
"Date (yyyy/dd)","2006/01","1998/16","1998/20","2005/26","1983/29","2004/19","1991/23","1977/18","1989/08","2003/01","2002/12","2002/14",""," "
"Extreme Minimum (°C)","-24.5","-22.4","-19.5","-8.6","-2.8","0.7","4.6","2.8","-1.2","-12.2","-24.8","-25.6","",""
"Date (yyyy/dd)","2005/13","1986/19","2002/09","2002/03","2002/06","1982/11","1978/02","1986/15","1992/14","1984/31","1985/27","1984/30",""," "
"Precipitation"
"Rainfall (mm)","88.1","57.6","85.6","73.4","71.8","65.6","73.0","122.4","217.3","268.3","123.9","91.9","1338.9","A"
"Snowfall (cm)","162.8","85.6","38.8","15.8","0.5","0.0","0.0","0.1","0.0","9.7","112.7","144.3","570.2","A"
"Precipitation (mm)","238.0","137.0","121.8","89.1","72.3","65.6","73.0","122.4","217.3","278.0","230.1","222.2","1866.8","A"
"Average Snow Depth (cm)","81","96","70","14","0","0","0","0","0","0","14","48","27","C"
"Median Snow Depth (cm)","79","95","71","9","0","0","0","0","0","0","11","48","26","C"
"Snow Depth at Month-end (cm)","95","97","46","0","0","0","0","0","0","1","33","58","27","A"
"Extreme Daily Rainfall (mm)","89.4","32.8","43.8","59.6","39.4","38.6","33.0","85.0","85.2","110.2","123.7","113.8","",""
"Date (yyyy/dd)","1989/25","1984/18","2000/31","1992/01","1999/22","1976/30","1988/25","2000/21","1992/28","1980/28","1976/03","1990/06",""," "
"Extreme Daily Snowfall (cm)","105.7","65.4","47.1","96.0","10.0","0.0","0.0","2.0","0.0","32.5","60.8","104.5","",""
"Date (yyyy/dd)","1976/16","1985/13","1987/04","1997/01","2001/02","1975/01","1975/01","1981/03","1975/01","1975/31","1989/27","1984/05",""," "
"Extreme Daily Precipitation (mm)","112.6","67.6","47.1","100.4","39.4","38.6","33.0","85.0","85.2","110.2","123.7","120.8","",""
"Date (yyyy/dd)","2003/05","2005/10","1987/04","1997/01","1999/22","1976/30","1988/25","2000/21","1992/28","1980/28","1976/03","1990/06",""," "
"Extreme Snow Depth (cm)","240","231","196","157","58","0","0","0","0","33","122","182","",""
"Date (yyyy/dd)","1989/25","1975/22","1976/12","1976/01","1976/01","1975/01","1975/01","1975/01","1975/01","1975/31","1994/30","1978/24",""," "
"Days with Maximum Temperature"
"<= 0 °C","12.4","5.6","1.7","0.0","0.0","0.0","0.0","0.0","0.0","0.15","4.7","11.2","35.7","A"
"> 0 °C","18.6","22.7","29.3","30.0","31.0","30.0","31.0","31.0","30.0","30.9","25.3","19.8","329.6","A"
"> 10 °C","0.0","0.11","2.2","16.0","28.8","30.0","31.0","31.0","28.3","10.7","0.19","0.08","178.2","A"
"> 20 °C","0.0","0.0","0.0","1.2","5.4","10.7","12.9","10.4","2.0","0.04","0.0","0.0","42.6","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.04","0.54","0.28","0.19","0.0","0.0","0.0","0.0","1.1","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","3.8","4.5","10.9","20.6","30.2","30.0","31.0","31.0","29.7","26.8","10.8","4.8","234.1","C"
"<= 2 °C","31.0","28.1","30.2","19.4","2.9","0.04","0.0","0.0","1.0","9.3","26.0","30.8","178.7","C"
"<= 0 °C","27.2","23.7","20.1","9.4","0.84","0.0","0.0","0.0","0.28","4.2","19.2","26.2","131.1","C"
"< -2 °C","18.1","15.7","10.3","3.4","0.04","0.0","0.0","0.0","0.0","1.6","9.8","16.0","74.9","C"
"< -10 °C","6.6","4.7","1.3","0.0","0.0","0.0","0.0","0.0","0.0","0.04","1.7","4.4","18.8","C"
"< -20 °C","0.85","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.31","0.32","1.6","C"
