"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*TERRACE A","BC"," 54°27'59.000"" N","128°34'39.000"" W","217.3 m","1068130","71951","YXT"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-3.0","-0.9","2.4","6.3","10.6","14.2","16.5","16.3","12.1","6.4","0.7","-2.6","6.6","A"
"Standard Deviation","3.1","2.3","1.7","1.3","1.7","1.5","1.4","1.2","1.3","1.1","2.3","2.8","0.7","A"
"Daily Maximum (°C)","-1.1","1.7","5.8","10.8","15.7","19.1","21.4","21.1","16.0","9.0","2.6","-0.8","10.1","A"
"Daily Minimum (°C)","-5.0","-3.4","-1.1","1.7","5.5","9.2","11.6","11.5","8.2","3.7","-1.1","-4.5","3.0","A"
"Extreme Maximum (°C)","9.4","12.7","16.9","26.0","34.6","36.5","37.3","36.2","32.2","21.4","13.4","11.3","",""
"Date (yyyy/dd)","1962/30","2005/28","1994/28","2005/26","1983/29","2004/20","2009/29","1990/11","1974/01","1993/02","1980/05","1980/15",""," "
"Extreme Minimum (°C)","-25.0","-25.0","-19.4","-8.3","-2.2","0.6","3.3","2.8","-1.4","-13.5","-25.3","-26.7","",""
"Date (yyyy/dd)","1969/01","1956/15","2003/08","1966/12","1964/13","1960/04","1955/01","1973/31","1983/28","1984/31","1985/26","1964/16",""," "
"Precipitation"
"Rainfall (mm)","91.7","61.8","58.8","64.7","55.7","50.8","52.8","61.2","111.5","185.2","132.2","99.0","1025.3","A"
"Snowfall (cm)","88.4","51.9","34.3","8.5","0.4","0.0","0.0","0.0","0.0","4.8","56.0","87.1","331.5","A"
"Precipitation (mm)","173.5","110.6","92.3","73.7","56.4","50.8","52.8","61.2","111.5","190.3","187.1","180.9","1340.8","A"
"Average Snow Depth (cm)","17","14","5","1","0","0","0","0","0","0","3","14","4","A"
"Median Snow Depth (cm)","15","13","5","0","0","0","0","0","0","0","1","12","4","A"
"Snow Depth at Month-end (cm)","16","9","3","0","0","0","0","0","0","0","11","17","5","A"
"Extreme Daily Rainfall (mm)","115.0","79.0","42.7","43.4","39.6","35.4","39.4","71.8","106.6","114.8","93.0","111.4","",""
"Date (yyyy/dd)","2007/24","1961/05","1960/16","2001/24","1985/03","1993/22","1966/19","1978/06","1988/28","1978/31","1956/02","1990/07",""," "
"Extreme Daily Snowfall (cm)","99.1","113.4","44.2","49.6","6.1","0.0","0.0","0.0","0.3","21.3","39.4","82.8","",""
"Date (yyyy/dd)","1974/17","1999/11","2007/28","1981/04","1965/03","1954/01","1954/01","1953/01","1972/27","1956/31","2003/27","1990/03",""," "
"Extreme Daily Precipitation (mm)","115.0","99.7","53.2","59.2","39.6","35.4","39.4","71.8","106.6","114.8","95.8","142.0","",""
"Date (yyyy/dd)","2007/24","1999/11","2007/28","1981/04","1985/03","1993/22","1966/19","1978/06","1988/28","1978/31","1956/02","1991/20",""," "
"Extreme Snow Depth (cm)","165","191","165","48","3","0","0","0","0","23","56","160","",""
"Date (yyyy/dd)","1974/18","1972/20","1972/10","1971/01","1965/03","1955/01","1955/01","1955/01","1955/01","1964/29","1975/26","1957/29",""," "
"Days with Maximum Temperature"
"<= 0 °C","12.6","7.3","2.2","0.0","0.0","0.0","0.0","0.0","0.0","0.23","5.1","13.9","41.4","A"
"> 0 °C","18.4","20.9","28.8","30.0","31.0","30.0","31.0","31.0","30.0","30.8","24.9","17.1","323.8","A"
"> 10 °C","0.0","0.03","3.6","15.7","28.0","29.9","31.0","31.0","29.2","11.4","0.40","0.0","180.2","A"
"> 20 °C","0.0","0.0","0.0","0.97","5.6","10.7","16.5","16.3","4.6","0.13","0.0","0.0","54.8","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.10","0.90","1.9","1.3","0.0","0.0","0.0","0.0","4.1","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.07","0.10","0.03","0.0","0.0","0.0","0.0","0.20","A"
"Days with Minimum Temperature"
"> 0 °C","6.3","7.1","13.0","22.2","30.4","30.0","31.0","31.0","29.8","27.9","13.8","5.9","248.4","A"
"<= 2 °C","30.5","27.6","27.5","16.8","3.5","0.03","0.0","0.0","0.57","8.5","25.4","30.4","170.8","A"
"<= 0 °C","24.8","21.1","18.0","7.8","0.60","0.0","0.0","0.0","0.17","3.1","16.2","25.1","116.9","A"
"< -2 °C","16.9","13.7","9.0","1.8","0.0","0.0","0.0","0.0","0.0","0.80","7.8","17.1","67.0","A"
"< -10 °C","6.3","2.9","0.79","0.0","0.0","0.0","0.0","0.0","0.0","0.07","1.5","4.7","16.3","A"
"< -20 °C","0.75","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.43","1.4","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","11.7","10.0","13.3","14.4","14.8","14.7","14.1","13.4","16.6","21.7","16.8","11.1","172.4","A"
">= 5 mm","5.1","3.4","4.0","3.9","3.7","3.3","3.5","4.1","6.4","10.4","7.2","4.9","59.9","A"
">= 10 mm","2.9","2.0","1.6","1.8","1.1","1.3","1.4","1.9","3.4","6.2","4.2","3.0","30.8","A"
">= 25 mm","0.83","0.37","0.28","0.37","0.17","0.07","0.20","0.13","0.80","1.5","1.2","1.1","7.0","A"
"Days With Snowfall"
">= 0.2 cm","14.6","9.7","8.9","3.2","0.37","0.0","0.0","0.0","0.0","1.5","11.4","15.6","65.1","A"
">= 5 cm","5.5","3.4","1.9","0.53","0.0","0.0","0.0","0.0","0.0","0.33","3.2","5.4","20.3","A"
">= 10 cm","2.8","1.6","0.83","0.07","0.0","0.0","0.0","0.0","0.0","0.23","1.6","2.6","9.6","A"
">= 25 cm","0.66","0.20","0.14","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.47","0.47","2.0","A"
"Days with Precipitation"
">= 0.2 mm","20.6","15.3","17.5","15.4","14.8","14.7","14.1","13.4","16.6","21.8","21.9","20.9","206.8","A"
">= 5 mm","9.6","6.3","6.0","4.3","3.8","3.3","3.5","4.1","6.4","10.6","9.7","9.3","77.0","A"
">= 10 mm","5.7","3.5","2.8","2.0","1.2","1.3","1.4","1.9","3.4","6.3","6.0","5.0","40.6","A"
">= 25 mm","1.6","0.67","0.48","0.47","0.17","0.07","0.20","0.13","0.80","1.6","1.9","1.7","9.8","A"
"Days with Snow Depth"
">= 1 cm","25.2","18.3","10.8","1.6","0.0","0.0","0.0","0.0","0.0","0.40","9.5","23.1","88.9","A"
">= 5 cm","19.9","13.7","6.9","1.1","0.0","0.0","0.0","0.0","0.0","0.17","5.7","17.9","65.3","A"
">= 10 cm","16.5","11.8","5.4","0.67","0.0","0.0","0.0","0.0","0.0","0.03","3.4","13.7","51.5","A"
">= 20 cm","10.5","8.0","3.9","0.33","0.0","0.0","0.0","0.0","0.0","0.0","1.7","8.6","33.0","A"
"Wind"
