"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*TOFINO A","BC"," 49°04'56.000"" N","125°46'21.020"" W","24.5 m","1038205","","YAZ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","5.3","5.4","6.5","8.0","10.5","12.9","14.7","15.0","13.4","10.0","6.8","5.0","9.5","A"
"Standard Deviation","1.3","1.3","1.1","0.9","1.1","0.9","0.8","0.7","0.9","0.8","1.5","1.3","1.0","A"
"Daily Maximum (°C)","8.3","9.0","10.1","11.9","14.5","16.8","18.9","19.1","17.8","13.6","10.0","8.1","13.2","A"
"Daily Minimum (°C)","2.3","1.9","2.7","4.0","6.5","8.9","10.5","10.8","9.0","6.3","3.6","1.9","5.7","A"
"Extreme Maximum (°C)","20.1","18.9","18.7","22.8","28.2","32.2","32.8","32.8","29.4","23.9","21.1","15.6","",""
"Date (yyyy/dd)","1986/12","1963/07","2004/29","1989/25","2005/27","1944/09","1961/12","1981/08","1963/09","1945/07","1970/03","1969/02",""," "
"Extreme Minimum (°C)","-15.0","-9.2","-5.5","-1.7","-0.2","2.2","3.9","4.4","-0.6","-3.5","-12.7","-12.2","",""
"Date (yyyy/dd)","1969/30","1989/02","1989/02","1968/12","1988/04","1976/03","1971/02","1973/18","1972/27","1984/31","1985/29","1968/28",""," "
"Precipitation"
"Rainfall (mm)","477.4","327.3","325.7","269.2","153.0","129.7","71.0","88.1","132.8","341.8","489.4","432.0","3237.2","A"
"Snowfall (cm)","9.2","8.7","4.0","0.7","0.0","0.0","0.0","0.0","0.0","0.1","2.8","7.9","33.3","A"
"Precipitation (mm)","486.6","336.1","329.8","269.9","153.0","129.7","71.0","88.1","132.8","341.9","492.1","440.0","3270.7","A"
"Average Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","C"
"Snow Depth at Month-end (cm)","0","0","0","0","0","0","0","0","0","0","0","1","0","C"
"Extreme Daily Rainfall (mm)","197.2","169.2","169.7","126.2","95.5","83.2","98.3","131.3","119.9","154.2","155.4","166.4","",""
"Date (yyyy/dd)","2005/18","1982/24","1969/15","1981/22","1973/23","1987/11","1972/11","1975/26","2005/28","1967/07","1975/12","1962/29",""," "
"Extreme Daily Snowfall (cm)","31.2","22.6","20.3","14.2","0.0","0.0","0.0","0.0","0.0","1.2","22.6","27.0","",""
"Date (yyyy/dd)","1969/16","1994/08","1974/08","1972/11","1943/01","1943/01","1942/01","1942/01","1942/01","1984/31","1973/03","1998/23",""," "
"Extreme Daily Precipitation (mm)","197.2","184.2","169.7","126.2","95.5","83.2","98.3","131.3","119.9","154.2","155.4","166.4","",""
"Date (yyyy/dd)","2005/18","1982/24","1969/15","1981/22","1973/23","1987/11","1972/11","1975/26","2005/28","1967/07","1975/12","1962/29",""," "
"Extreme Snow Depth (cm)","48","51","20","10","0","0","0","0","0","0","13","30","",""
"Date (yyyy/dd)","1966/04","1969/01","1976/02","1972/12","1959/01","1959/01","1959/01","1959/01","1959/01","1959/01","1975/30","1964/30",""," "
"Days with Maximum Temperature"
"<= 0 °C","0.04","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.23","0.53","A"
"> 0 °C","31.0","28.1","31.0","30.0","31.0","30.0","31.0","31.0","30.0","31.0","29.9","30.8","364.7","A"
"> 10 °C","6.9","8.5","15.4","22.9","30.0","30.0","31.0","31.0","30.0","29.5","16.2","6.5","257.9","A"
"> 20 °C","0.04","0.0","0.0","0.54","1.7","3.7","8.2","9.9","6.1","0.58","0.0","0.0","30.8","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.0","0.12","0.15","0.15","0.0","0.0","0.0","0.0","0.42","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Minimum Temperature"
"> 0 °C","20.9","18.3","23.9","27.4","30.9","30.0","31.0","31.0","30.0","30.0","24.2","19.7","317.1","A"
"<= 2 °C","14.6","14.9","13.5","8.2","1.9","0.0","0.0","0.0","0.08","3.2","10.3","16.1","82.8","A"
"<= 0 °C","10.1","9.9","7.1","2.6","0.12","0.0","0.0","0.0","0.0","1.0","5.9","11.4","48.1","A"
"< -2 °C","3.9","3.7","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.27","1.9","4.5","15.2","A"
"< -10 °C","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.08","0.19","A"
"< -20 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","22.1","18.4","21.5","18.4","15.7","13.8","10.0","10.9","11.7","19.4","22.6","21.6","205.9","A"
">= 5 mm","16.6","12.5","14.2","12.3","8.1","6.7","3.4","4.0","5.4","13.0","17.0","15.9","129.2","A"
">= 10 mm","13.5","10.0","10.9","8.8","5.5","4.7","2.1","2.6","4.0","10.4","13.8","12.2","98.4","A"
">= 25 mm","6.4","4.7","4.2","3.5","1.6","1.3","0.58","0.88","1.7","5.0","7.3","6.4","43.5","A"
"Days With Snowfall"
">= 0.2 cm","1.9","1.5","1.3","0.35","0.0","0.0","0.0","0.0","0.0","0.04","0.85","2.0","7.8","A"
">= 5 cm","0.63","0.70","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.23","0.44","2.2","A"
">= 10 cm","0.26","0.30","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.20","0.88","A"
