"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*TOPLEY LANDING","BC"," 54°48'57.000"" N","126°09'47.000"" W","722.0 m","1078209","",""
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-8.5","-6.0","-1.6","3.6","8.4","12.4","14.6","14.1","9.7","4.0","-2.6","-6.9","3.4","A"
"Standard Deviation","4.2","3.2","2.2","1.2","1.8","1.6","1.1","1.1","1.4","1.2","2.9","3.5","2.0","A"
"Daily Maximum (°C)","-5.0","-1.5","3.7","9.4","14.6","18.5","20.7","20.4","15.4","8.1","0.3","-3.9","8.4","A"
"Daily Minimum (°C)","-12.0","-10.4","-6.9","-2.3","2.2","6.3","8.4","7.7","4.1","-0.2","-5.4","-9.8","-1.5","A"
"Extreme Maximum (°C)","10.0","12.8","16.0","24.5","33.0","32.8","34.4","33.5","31.0","24.5","17.8","11.0","",""
"Date (yyyy/dd)","1976/16","1968/26","1979/23","2005/25","1983/29","1969/10","1971/31","1990/12","1988/04","1987/01","1976/04","2005/10",""," "
"Extreme Minimum (°C)","-41.7","-36.5","-35.0","-20.6","-10.0","-1.7","0.0","-1.0","-4.5","-20.5","-34.0","-41.0","",""
"Date (yyyy/dd)","1972/25","1986/19","1976/02","1966/11","1998/10","1962/09","1962/01","1992/22","1992/15","1984/31","1985/27","1996/29",""," "
"Precipitation"
"Rainfall (mm)","4.9","3.6","4.8","16.8","40.6","58.5","46.4","42.1","43.1","42.8","14.6","3.8","322.0","A"
"Snowfall (cm)","49.5","30.8","24.8","8.2","1.6","0.0","0.0","0.0","0.0","11.5","42.4","47.3","216.1","A"
"Precipitation (mm)","54.4","34.5","29.6","25.0","42.2","58.5","46.4","42.1","43.1","54.4","57.0","51.1","538.1","A"
"Average Snow Depth (cm)","39","47","38","8","0","0","0","0","0","1","9","24","14","C"
"Median Snow Depth (cm)","38","47","38","6","0","0","0","0","0","0","8","25","14","C"
"Snow Depth at Month-end (cm)","46","46","24","0","0","0","0","0","0","3","17","33","14","C"
"Extreme Daily Rainfall (mm)","8.2","17.0","8.6","20.0","23.0","33.8","54.9","30.7","34.2","21.4","20.2","8.6","",""
"Date (yyyy/dd)","1997/29","2005/01","1979/05","1987/30","1998/28","2003/29","1970/25","1966/26","2004/17","1997/01","1987/07","1989/24",""," "
"Extreme Daily Snowfall (cm)","34.0","20.6","22.9","23.0","16.0","0.0","0.0","0.0","4.1","74.0","32.8","25.0","",""
"Date (yyyy/dd)","2000/03","1982/10","1972/08","1981/10","2002/04","1962/01","1962/01","1962/01","1974/29","2006/27","1996/08","1978/16",""," "
"Extreme Daily Precipitation (mm)","34.0","21.2","22.9","23.0","23.0","33.8","54.9","30.7","34.2","74.0","32.8","25.0","",""
"Date (yyyy/dd)","2000/03","2005/02","1972/08","1981/10","1998/28","2003/29","1970/25","1966/26","2004/17","2006/27","1996/08","1978/16",""," "
"Extreme Snow Depth (cm)","93","97","102","79","14","0","0","0","0","74","64","69","",""
"Date (yyyy/dd)","1997/28","1982/27","1982/01","2002/06","2002/05","1981/01","1981/01","1980/01","1981/01","2006/28","1996/12","1996/15",""," "
"Days with Maximum Temperature"
"<= 0 °C","22.6","15.3","6.1","0.54","0.04","0.0","0.0","0.0","0.0","1.1","11.9","22.5","80.1","A"
"> 0 °C","8.4","12.9","24.9","29.5","31.0","30.0","31.0","31.0","30.0","29.9","18.1","8.5","285.1","A"
"> 10 °C","0.0","0.12","1.8","11.1","25.7","29.5","30.9","30.9","26.9","9.1","0.15","0.04","166.1","A"
"> 20 °C","0.0","0.0","0.0","0.38","4.1","9.5","15.6","14.6","4.0","0.12","0.0","0.0","48.3","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.08","0.23","0.58","0.50","0.04","0.0","0.0","0.0","1.4","A"
