"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*VICTORIA INT'L A","BC"," 48°38'50.010"" N","123°25'33.000"" W","19.5 m","1018620","71799","YYJ"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","4.6","5.1","6.8","9.0","12.1","14.9","16.9","16.8","14.2","10.0","6.4","4.0","10.0","A"
"Standard Deviation","1.4","1.5","1.1","0.9","1.0","0.9","0.9","0.7","0.8","0.7","1.6","1.4","0.5","A"
"Daily Maximum (°C)","7.6","8.8","10.8","13.6","16.9","19.9","22.4","22.4","19.6","14.2","9.7","7.0","14.4","A"
"Daily Minimum (°C)","1.5","1.3","2.6","4.3","7.2","9.8","11.3","11.1","8.6","5.7","3.0","1.1","5.6","A"
"Extreme Maximum (°C)","16.1","18.3","21.4","26.3","31.5","33.5","36.3","34.4","31.1","27.6","18.3","16.1","",""
"Date (yyyy/dd)","2005/19","1963/10","1994/28","1998/30","1983/28","2003/06","2007/11","1960/09","1944/05","1987/01","1975/03","1940/21",""," "
"Extreme Minimum (°C)","-15.6","-15.0","-10.0","-3.9","-1.1","2.1","4.1","4.4","-1.1","-4.4","-13.3","-14.4","",""
"Date (yyyy/dd)","1950/28","1950/01","1989/03","1956/05","1954/01","1991/03","1979/02","1973/18","1972/27","1956/28","1955/14","1964/16",""," "
"Precipitation"
"Rainfall (mm)","132.8","83.0","75.2","47.5","37.5","30.6","17.9","23.8","31.1","88.0","148.4","129.7","845.3","A"
"Snowfall (cm)","10.9","6.3","3.4","0.4","0.0","0.0","0.0","0.0","0.0","0.2","4.7","13.7","39.7","A"
"Precipitation (mm)","143.2","89.3","78.4","47.9","37.5","30.6","17.9","23.8","31.1","88.1","152.6","142.5","882.9","A"
"Average Snow Depth (cm)","1","0","0","0","0","0","0","0","0","0","0","1","0","A"
"Median Snow Depth (cm)","0","0","0","0","0","0","0","0","0","0","0","0","0","A"
