"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*WHISTLER","BC"," 50°07'44.001"" N","122°57'17.400"" W","657.8 m","1048898","","WAE"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-2.1","-0.5","2.4","6.1","10.1","13.6","16.4","16.5","12.7","6.7","0.9","-2.8","6.7","A"
"Standard Deviation","2.3","1.8","1.6","1.2","1.4","1.5","1.5","1.3","1.5","1.2","2.2","2.3","1.7","A"
"Daily Maximum (°C)","0.6","3.2","7.2","11.8","16.4","19.9","23.6","24.0","19.8","11.2","3.5","-0.2","11.7","A"
"Daily Minimum (°C)","-4.9","-4.2","-2.3","0.3","3.8","7.2","9.2","8.9","5.6","2.0","-1.8","-5.4","1.5","A"
"Extreme Maximum (°C)","8.9","14.3","19.6","27.8","35.6","35.3","38.8","38.0","35.0","26.8","13.6","9.8","",""
"Date (yyyy/dd)","1977/18","1992/28","1994/29","1977/24","1983/29","2006/26","2006/21","2004/14","1988/04","2003/02","1986/03","2005/24",""," "
"Extreme Minimum (°C)","-28.2","-24.1","-18.5","-7.7","-3.4","-0.7","0.3","0.0","-3.2","-14.2","-24.3","-29.2","",""
"Date (yyyy/dd)","1979/04","1986/19","1991/05","1982/08","1978/05","1988/04","1985/01","1992/23","1983/29","1984/31","1985/27","1978/30",""," "
"Precipitation"
"Rainfall (mm)","84.7","50.2","55.4","61.2","65.7","58.9","44.7","47.5","54.9","146.7","131.1","54.8","855.9","A"
"Snowfall (cm)","103.0","64.2","47.4","15.8","1.0","0.0","0.0","0.0","0.0","7.6","65.7","114.0","418.7","A"
"Precipitation (mm)","176.0","104.6","97.6","75.9","66.7","58.9","44.7","47.5","54.9","154.6","192.1","154.1","1227.7","A"
"Average Snow Depth (cm)","54","60","40","6","0","0","0","0","0","0","7","35","17","C"
"Median Snow Depth (cm)","52","59","40","4","0","0","0","0","0","0","4","37","16","C"
"Snow Depth at Month-end (cm)","62","59","16","0","0","0","0","0","0","2","17","49","17","C"
"Extreme Daily Rainfall (mm)","79.2","69.8","40.0","33.6","25.5","31.3","39.8","64.4","32.8","76.3","72.0","58.2","",""
"Date (yyyy/dd)","1983/07","1991/01","1997/18","1992/29","1979/03","2006/08","1983/11","1991/29","2004/10","2003/16","1990/10","1998/12",""," "
"Extreme Daily Snowfall (cm)","52.6","42.8","40.0","47.0","8.0","0.0","0.0","0.0","0.0","30.4","54.5","51.2","",""
"Date (yyyy/dd)","1993/26","1999/23","1987/02","1988/05","1985/10","1977/01","1977/01","1977/01","1977/01","1999/30","1984/02","2006/14",""," "
"Extreme Daily Precipitation (mm)","79.2","69.8","41.4","33.6","25.5","31.3","39.8","64.4","32.8","77.3","72.0","59.7","",""
"Date (yyyy/dd)","1983/07","1991/01","1997/18","1992/29","1979/03","2006/08","1983/11","1991/29","2004/10","2003/16","1990/10","1998/12",""," "
"Extreme Snow Depth (cm)","144","174","171","119","7","0","0","0","0","17","68","122","",""
"Date (yyyy/dd)","2007/07","1999/24","1999/09","1999/01","1982/03","1981/01","1981/01","1980/01","1981/01","1985/31","1984/03","1996/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","9.2","3.9","0.85","0.0","0.0","0.0","0.0","0.0","0.0","0.12","3.3","12.9","30.2","A"
"> 0 °C","21.8","24.4","30.2","30.0","31.0","30.0","31.0","31.0","30.0","30.9","26.7","18.1","335.0","A"
"> 10 °C","0.0","0.70","7.0","17.3","27.6","29.7","31.0","31.0","29.5","17.0","0.81","0.0","191.6","A"
"> 20 °C","0.0","0.0","0.0","2.2","7.7","13.9","21.7","22.6","13.6","1.4","0.0","0.0","83.3","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.35","1.7","4.8","4.8","0.85","0.0","0.0","0.0","12.5","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.04","0.04","0.58","0.28","0.0","0.0","0.0","0.0","0.94","A"
"Days with Minimum Temperature"
"> 0 °C","6.0","5.1","8.7","15.2","26.9","29.9","31.0","31.0","28.1","21.7","11.2","3.4","218.1","A"
"<= 2 °C","30.4","28.0","29.7","21.4","8.8","0.77","0.08","0.08","4.5","15.5","25.6","30.8","195.5","A"
"<= 0 °C","25.0","23.2","22.3","14.8","4.1","0.15","0.0","0.04","1.9","9.3","18.9","27.6","147.1","A"
"< -2 °C","16.4","16.0","14.9","6.2","0.73","0.0","0.0","0.0","0.46","3.8","10.7","20.4","89.6","A"
"< -10 °C","6.4","3.4","1.3","0.0","0.0","0.0","0.0","0.0","0.0","0.08","1.9","6.2","19.3","A"
"< -20 °C","0.63","0.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.23","0.38","1.5","A"
"< - 30 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Rainfall"
">= 0.2 mm","10.6","8.7","11.6","14.3","15.0","13.8","10.0","9.2","10.0","16.7","14.5","7.9","142.2","A"
">= 5 mm","4.9","2.9","3.6","4.1","4.6","3.9","2.8","3.0","3.7","8.4","7.0","3.4","52.2","A"
">= 10 mm","2.7","1.2","1.2","1.9","1.7","1.8","1.3","1.3","1.7","5.2","4.4","1.7","26.0","A"
">= 25 mm","0.74","0.30","0.35","0.19","0.0","0.15","0.19","0.31","0.31","1.3","1.3","0.54","5.6","A"
"Days With Snowfall"
">= 0.2 cm","13.7","10.1","9.2","4.4","0.50","0.0","0.0","0.0","0.0","1.4","9.7","14.6","63.5","A"
">= 5 cm","6.8","4.3","3.1","0.81","0.08","0.0","0.0","0.0","0.0","0.54","4.0","7.3","27.0","A"
">= 10 cm","3.3","2.2","1.5","0.27","0.0","0.0","0.0","0.0","0.0","0.23","2.0","3.8","13.1","A"
">= 25 cm","0.81","0.30","0.12","0.15","0.0","0.0","0.0","0.0","0.0","0.04","0.42","0.81","2.7","A"
"Days with Precipitation"
">= 0.2 mm","18.9","14.9","16.9","16.2","15.0","13.8","10.0","9.2","10.0","17.3","19.6","18.0","179.7","A"
">= 5 mm","10.6","6.9","6.8","4.9","4.7","3.9","2.8","3.0","3.7","8.9","10.9","9.1","76.1","A"
">= 10 mm","5.6","3.3","2.9","2.2","1.8","1.8","1.3","1.3","1.7","5.5","6.5","5.2","39.0","A"
">= 25 mm","1.5","0.52","0.50","0.35","0.0","0.15","0.19","0.31","0.31","1.3","1.7","1.3","8.1","A"
"Days with Snow Depth"
">= 1 cm","29.8","27.7","25.4","6.6","0.17","0.0","0.0","0.0","0.0","0.91","16.1","29.9","136.4","D"
">= 5 cm","28.8","26.4","25.0","4.5","0.08","0.0","0.0","0.0","0.0","0.43","10.8","28.4","124.4","D"
">= 10 cm","28.4","26.0","23.8","3.5","0.0","0.0","0.0","0.0","0.0","0.26","6.8","27.2","116.0","D"
">= 20 cm","26.9","25.4","21.0","2.4","0.0","0.0","0.0","0.0","0.0","0.0","3.9","24.1","103.7","D"
"Wind"
"Speed (km/h)","2.7","3.1","3.7","4.6","5.2","5.6","5.3","4.4","3.6","3.0","2.8","2.6","3.9","D"
"Most Frequent Direction","S","S","S","S","S","S","S","S","S","S","S","S","S","D"
"Maximum Hourly Speed (km/h)","41.0","43.0","33.0","56.0","41.0","41.0","41.0","39.0","37.0","33.0","43.0","44.0","56.0",""
"Date (yyyy/dd)","1986/08","1995/12","1989/01","1991/15","1988/12","1989/26","1989/31","1994/28","1993/11","1993/20","2010/22","1980/10","1991/15"," "
"Direction of Maximum Hourly Speed","S","N","NE","NW","SW","SW","SW","NE","N","S","N","S","NW",""
"Degree Days"
"Above 24 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.1","0.0","0.0","0.0","0.0","0.7","A"
"Above 18 °C","0.0","0.0","0.0","0.0","0.4","4.4","20.2","19.6","1.8","0.0","0.0","0.0","46.4","A"
"Above 15 °C","0.0","0.0","0.0","0.1","3.7","21.3","64.9","66.0","14.4","0.2","0.0","0.0","170.5","A"
"Above 10 °C","0.0","0.0","0.0","4.2","43.4","111.2","198.3","201.9","92.5","8.0","0.0","0.0","659.6","A"
"Above 5 °C","0.1","0.2","7.1","52.2","160.1","256.9","353.0","356.7","230.8","70.7","4.9","0.0","1492.7","A"
"Above 0 °C","25.1","32.3","87.4","182.0","314.1","406.9","508.0","511.7","380.7","207.5","59.2","14.5","2729.4","A"
"Below 0 °C","91.1","45.9","11.9","0.0","0.0","0.0","0.0","0.0","0.0","1.5","33.4","101.5","285.4","A"
"Below 5 °C","221.1","155.0","86.5","20.2","1.0","0.0","0.0","0.0","0.0","19.7","129.1","242.1","874.8","A"
"Below 10 °C","376.1","295.9","234.5","122.2","39.3","4.3","0.3","0.2","11.8","112.0","274.3","397.1","1867.8","A"
"Below 15 °C","531.1","437.0","389.4","268.1","154.6","64.4","21.9","19.3","83.7","259.2","424.3","552.1","3204.8","A"
"Below 18 °C","624.1","521.6","482.4","358.0","244.3","137.5","70.2","65.9","161.1","352.0","514.3","645.1","4176.4","A"
"Bright Sunshine"
"Total Hours","40.3","78.4","123.2","162.4","207.3","204.9","250.6","241.4","194.0","109.0","41.8","30.4","1683.8","D"
"Days with measurable","15.4","19.1","24.4","26.6","28.7","27.8","28.8","29.4","28.1","22.9","15.6","13.9","280.6","D"
"% of possible daylight hours","15.1","27.6","33.5","39.4","43.4","41.9","50.8","53.8","51.1","32.6","15.3","12.0","34.7","D"
"Extreme Daily","6.5","8.0","9.9","12.3","13.5","13.8","13.6","12.7","10.9","9.1","7.1","5.4","",""
"Date (yyyy/dd)","1994/31","1995/27","1995/29","1989/29","1986/31","1987/18","1986/06","1986/01","1988/01","1988/02","1990/01","1986/17",""," "
"Humidex"
"Extreme Humidex","7.8","12.8","18.8","38.7","34.8","38.0","42.2","38.8","34.6","27.3","13.7","10.3","",""
"Date (yyyy/dd)","2005/23","1991/27","1994/29","2005/25","1983/29","2008/29","2004/18","2004/14","1988/04","1992/01","2006/06","2005/24",""," "
"Days with Humidex >= 30","0.0","0.0","0.0","","","","","","","","","","",""
"Days with Humidex >= 35","0.0","0.0","0.0","","","","","","","","","","",""
"Days with Humidex >= 40","0.0","0.0","0.0","","","","","","","","","","",""
"Wind Chill"
"Extreme Wind Chill","-29.4","-37.4","-21.7","-10.0","0.0","0.0","0.0","0.0","0.0","-22.2","-31.9","-30.1","",""
"Date (yyyy/dd)","1997/26","1989/01","2002/06","2008/19","1983/01","1983/01","1983/01","1983/01","1983/01","1984/31","1985/26","1996/28",""," "
"Days with Wind Chill < -20","0.0","0.0","0.0","","","","","","","","","","",""
"Days with Wind Chill < -30","0.0","0.0","0.0","","","","","","","","","","",""
"Days with Wind Chill < -40","0.0","0.0","0.0","","","","","","","","","","",""
"Humidity"
"Average Vapour Pressure (kPa)","0.6","0.6","0.6","","","","","","","","","","",""
"Average Relative Humidity - 0600LST (%)","93.3","94.0","93.0","92.4","91.0","88.7","90.1","93.0","95.1","95.3","","","",""
"Average Relative Humidity - 1500LST (%)","85.8","75.1","66.3","57.8","52.5","52.9","47.9","47.5","52.4","70.3","85.8","87.1","65.1","A"
"Pressure"
"Average Station Pressure (kPa)","93.3","93.7","93.7","","","","","","","","","","",""
"Average Sea Level Pressure (kPa)","101.2","101.5","101.5","","","","","","","","","","",""
"Visibility (hours with)"
"< 1 km","","0.0","3.0","","","","","","","","","","",""
"1 to 9 km","","56.0","84.0","","","","","","","","","","",""
"> 9 km","","616.0","657.0","","","","","","","","","","",""
"Cloud Amount (hours with)"
"0 to 2 tenths","","136.0","94.0","","","","","","","","","","",""
