"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*WILLIAMS LAKE A","BC"," 52°10'59.000"" N","122°03'15.000"" W","939.7 m","1098940","71104","YWL"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
"Daily Average (°C)","-6.7","-4.1","0.3","4.9","9.6","13.3","16.0","15.3","10.6","4.6","-2.3","-7.3","4.5","A"
"Standard Deviation","3.8","3.3","2.4","1.2","1.5","1.4","1.2","1.1","1.6","1.6","3.3","3.5","0.9","A"
"Daily Maximum (°C)","-2.7","0.8","5.8","11.0","16.0","19.5","22.5","22.2","17.2","9.7","1.4","-3.5","10.0","A"
"Daily Minimum (°C)","-10.7","-8.9","-5.2","-1.3","3.2","7.0","9.3","8.3","4.0","-0.6","-5.9","-11.0","-1.0","A"
"Extreme Maximum (°C)","12.8","12.8","18.9","28.8","34.5","33.5","34.4","33.3","35.8","27.1","16.7","11.2","",""
"Date (yyyy/dd)","1968/20","1963/06","1994/29","1977/25","1983/29","1992/26","1971/31","1981/11","1988/04","1987/01","1975/04","1980/15",""," "
"Extreme Minimum (°C)","-42.2","-34.6","-31.7","-16.7","-5.8","-4.0","0.0","-1.7","-8.9","-28.6","-41.6","-42.8","",""
"Date (yyyy/dd)","1969/28","1989/02","1976/03","1966/11","1986/14","2009/09","1971/02","1973/19","1972/27","1984/31","1985/27","1968/29",""," "
"Precipitation"
"Rainfall (mm)","4.6","2.0","3.9","13.2","36.0","58.3","52.7","46.1","41.2","32.6","14.2","2.9","307.6","A"
"Snowfall (cm)","36.9","21.1","17.5","10.2","3.3","0.3","0.0","0.0","0.6","9.4","33.0","44.5","176.8","A"
"Precipitation (mm)","33.1","18.6","17.9","22.2","39.1","58.6","52.7","46.1","41.8","41.0","42.2","37.6","450.7","A"
"Average Snow Depth (cm)","30","28","13","1","0","0","0","0","0","0","6","19","8","A"
"Median Snow Depth (cm)","30","27","12","0","0","0","0","0","0","0","4","19","8","A"
"Snow Depth at Month-end (cm)","31","23","5","0","0","0","0","0","0","1","12","30","8","A"
"Extreme Daily Rainfall (mm)","17.4","14.2","10.6","20.3","24.6","26.6","37.2","46.0","24.9","37.8","29.6","28.4","",""
"Date (yyyy/dd)","2004/22","1962/02","1998/22","1969/23","1987/01","1994/18","2009/09","1989/02","1969/13","1995/14","1989/03","2008/05",""," "
"Extreme Daily Snowfall (cm)","42.7","15.2","32.2","17.2","11.7","7.8","0.3","0.0","7.9","19.1","32.3","31.4","",""
"Date (yyyy/dd)","1962/07","2008/14","1980/09","1982/03","1967/24","1985/23","1989/19","1961/01","1961/28","1966/20","1990/23","1989/20",""," "
"Extreme Daily Precipitation (mm)","42.7","14.2","32.8","24.9","24.6","26.6","37.2","46.0","27.9","37.8","34.3","38.8","",""
"Date (yyyy/dd)","1962/07","1962/02","1980/09","1969/13","1987/01","1994/18","2009/09","1989/02","1969/13","1995/14","1990/23","2008/05",""," "
"Extreme Snow Depth (cm)","94","112","86","44","8","0","0","0","5","15","52","73","",""
"Date (yyyy/dd)","1971/31","1965/16","1965/01","1982/04","2010/03","1961/01","1961/01","1961/01","1972/28","2004/20","1990/24","1990/31",""," "
"Days with Maximum Temperature"
"<= 0 °C","17.1","10.6","3.1","0.30","0.0","0.0","0.0","0.0","0.0","1.2","9.4","21.2","62.9","A"
"> 0 °C","13.9","17.7","27.9","29.7","31.0","30.0","31.0","31.0","30.0","29.8","20.6","9.8","302.4","A"
"> 10 °C","0.13","0.62","5.8","16.8","27.8","29.7","31.0","31.0","27.2","14.3","1.3","0.0","185.6","A"
"> 20 °C","0.0","0.0","0.0","0.97","6.7","12.8","21.0","19.9","8.7","1.0","0.0","0.0","71.1","A"
"> 30 °C","0.0","0.0","0.0","0.0","0.20","0.47","2.0","1.4","0.23","0.0","0.0","0.0","4.3","A"
"> 35 °C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.03","A"
"Days with Minimum Temperature"
"> 0 °C","1.6","2.5","4.7","10.2","24.3","29.7","31.0","30.9","25.0","13.9","4.0","1.2","179.1","A"
"<= 2 °C","30.6","27.7","29.2","24.6","12.1","1.3","0.07","0.73","9.2","22.1","28.1","30.8","216.4","A"
"<= 0 °C","29.4","25.7","26.3","19.8","6.7","0.30","0.0","0.10","5.0","17.1","26.0","29.8","186.2","A"
"< -2 °C","26.7","23.2","21.7","12.5","2.3","0.03","0.0","0.0","1.8","11.4","20.5","27.6","147.8","A"
"< -10 °C","12.9","10.8","5.2","0.37","0.0","0.0","0.0","0.0","0.0","0.73","6.2","15.4","51.6","A"
"< -20 °C","5.1","2.7","0.93","0.0","0.0","0.0","0.0","0.0","0.0","0.10","1.4","4.0","14.2","A"
